# entry       : 20573 
# subentry    : 002 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG) 
# year        : 1975 
# author      : E.Fort 
# institute   : 2FR CAD 
# reference   : (C,75WASH,2,957,7503) 
# facilitie   : {'x4code': 'VDG  '}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      1.21300E-02      4.00000E-05      1.25700E+03      1.50250E+02       # Lab                   
      1.23800E-02      4.00000E-05      1.03820E+03      1.42680E+02       # Lab                   
      1.26300E-02      4.00000E-05      7.27300E+02      1.18910E+02       # Lab                   
      1.28800E-02      4.00000E-05      1.17120E+03      1.20900E+02       # Lab                   
      1.31300E-02      4.00000E-05      9.24370E+02      5.93000E+01       # Lab                   
      1.33800E-02      5.00000E-05      8.83810E+02      5.28800E+01       # Lab                   
      1.36300E-02      5.00000E-05      8.09900E+02      4.93200E+01       # Lab                   
      1.38800E-02      5.00000E-05      9.88370E+02      5.37700E+01       # Lab                   
      1.41300E-02      5.00000E-05      9.63500E+02      5.11400E+01       # Lab                   
      1.43800E-02      5.00000E-05      9.67360E+02      5.12100E+01       # Lab                   
      1.46300E-02      5.00000E-05      9.76890E+02      4.96100E+01       # Lab                   
      1.48800E-02      5.00000E-05      9.54080E+02      4.70800E+01       # Lab                   
      1.51300E-02      5.00000E-05      8.98410E+02      4.54900E+01       # Lab                   
      1.53800E-02      6.00000E-05      9.02290E+02      4.50800E+01       # Lab                   
      1.56300E-02      6.00000E-05      9.08580E+02      4.49600E+01       # Lab                   
      1.58800E-02      6.00000E-05      7.44930E+02      3.98100E+01       # Lab                   
      1.61300E-02      6.00000E-05      7.51020E+02      3.84000E+01       # Lab                   
      1.63800E-02      6.00000E-05      9.25190E+02      4.34600E+01       # Lab                   
      1.66300E-02      6.00000E-05      7.82570E+02      3.82000E+01       # Lab                   
      1.68800E-02      6.00000E-05      9.35510E+02      4.23600E+01       # Lab                   
      1.71300E-02      7.00000E-05      8.80050E+02      4.06500E+01       # Lab                   
      1.73800E-02      7.00000E-05      8.11650E+02      3.75700E+01       # Lab                   
      1.76300E-02      7.00000E-05      7.37630E+02      3.45500E+01       # Lab                   
      1.78800E-02      7.00000E-05      9.05720E+02      4.08600E+01       # Lab                   
      1.81300E-02      7.00000E-05      8.92520E+02      3.97900E+01       # Lab                   
      1.83800E-02      7.00000E-05      8.72570E+02      3.89400E+01       # Lab                   
      1.86300E-02      7.00000E-05      7.67090E+02      3.47800E+01       # Lab                   
      1.88800E-02      8.00000E-05      8.61550E+02      3.78200E+01       # Lab                   
      1.91300E-02      8.00000E-05      7.27840E+02      3.32800E+01       # Lab                   
      1.93800E-02      8.00000E-05      6.98990E+02      3.16000E+01       # Lab                   
      1.96300E-02      8.00000E-05      5.91990E+02      2.73800E+01       # Lab                   
      1.98800E-02      8.00000E-05      7.60410E+02      3.29700E+01       # Lab                   
      2.01300E-02      8.00000E-05      9.00670E+02      3.84800E+01       # Lab                   
      2.03800E-02      9.00000E-05      6.61290E+02      2.94900E+01       # Lab                   
      2.06300E-02      9.00000E-05      6.44110E+02      2.90900E+01       # Lab                   
      2.08800E-02      9.00000E-05      7.03930E+02      3.08900E+01       # Lab                   
      2.11300E-02      9.00000E-05      6.83670E+02      2.96800E+01       # Lab                   
      2.13800E-02      9.00000E-05      8.25110E+02      3.50800E+01       # Lab                   
      2.16300E-02      9.00000E-05      6.97140E+02      3.00900E+01       # Lab                   
      2.18800E-02      9.00000E-05      7.19470E+02      3.09300E+01       # Lab                   
      2.21300E-02      1.00000E-04      5.61440E+02      2.50400E+01       # Lab                   
      2.23800E-02      1.00000E-04      5.53990E+02      2.43700E+01       # Lab                   
      2.26300E-02      1.00000E-04      7.03480E+02      2.99900E+01       # Lab                   
      2.28800E-02      1.00000E-04      6.44900E+02      2.79600E+01       # Lab                   
      2.31300E-02      1.00000E-04      5.99790E+02      2.58500E+01       # Lab                   
      2.33800E-02      1.00000E-04      6.68440E+02      2.82900E+01       # Lab                   
      2.36300E-02      1.10000E-04      6.31160E+02      2.69300E+01       # Lab                   
      2.38800E-02      1.10000E-04      6.97080E+02      2.91100E+01       # Lab                   
      2.41300E-02      1.10000E-04      5.75220E+02      2.45100E+01       # Lab                   
      2.43800E-02      1.10000E-04      6.98450E+02      2.92300E+01       # Lab                   
      2.46300E-02      1.10000E-04      5.98090E+02      2.50600E+01       # Lab                   
      2.48800E-02      1.10000E-04      6.30550E+02      2.63200E+01       # Lab                   
      2.51300E-02      1.20000E-04      7.15990E+02      2.94400E+01       # Lab                   
      2.53800E-02      1.20000E-04      6.96410E+02      2.91000E+01       # Lab                   
      2.56300E-02      1.20000E-04      5.78080E+02      2.47400E+01       # Lab                   
      2.58800E-02      1.20000E-04      5.43540E+02      2.35100E+01       # Lab                   
      2.61300E-02      1.20000E-04      5.33130E+02      2.28600E+01       # Lab                   
      2.63800E-02      1.30000E-04      6.05090E+02      2.50300E+01       # Lab                   
      2.66300E-02      1.30000E-04      6.28980E+02      2.59300E+01       # Lab                   
      2.68800E-02      1.30000E-04      6.49680E+02      2.65300E+01       # Lab                   
      2.71300E-02      1.30000E-04      6.46580E+02      2.64600E+01       # Lab                   
      2.73800E-02      1.30000E-04      6.10840E+02      2.51900E+01       # Lab                   
      2.76300E-02      1.30000E-04      6.05500E+02      2.48000E+01       # Lab                   
      2.78800E-02      1.40000E-04      6.66870E+02      2.70100E+01       # Lab                   
      2.81300E-02      1.40000E-04      6.10170E+02      2.49000E+01       # Lab                   
      2.83800E-02      1.40000E-04      6.75780E+02      2.73500E+01       # Lab                   
      2.86300E-02      1.40000E-04      6.78890E+02      2.74700E+01       # Lab                   
      2.88800E-02      1.40000E-04      6.50700E+02      2.62500E+01       # Lab                   
      2.91300E-02      1.50000E-04      5.84830E+02      2.36600E+01       # Lab                   
      2.93800E-02      1.50000E-04      6.25910E+02      2.54000E+01       # Lab                   
      2.96300E-02      1.50000E-04      6.33150E+02      2.56700E+01       # Lab                   
      2.98800E-02      1.50000E-04      5.85430E+02      2.36800E+01       # Lab                   
      3.01300E-02      1.50000E-04      6.79510E+02      2.72400E+01       # Lab                   
      3.03800E-02      1.50000E-04      6.41590E+02      2.59100E+01       # Lab                   
      3.06300E-02      1.60000E-04      5.62070E+02      2.30300E+01       # Lab                   
      3.08800E-02      1.60000E-04      5.65130E+02      2.32100E+01       # Lab                   
      3.11300E-02      1.60000E-04      5.36790E+02      2.20300E+01       # Lab                   
      3.13800E-02      1.60000E-04      5.28780E+02      2.16700E+01       # Lab                   
      3.16300E-02      1.60000E-04      5.55850E+02      2.25600E+01       # Lab                   
      3.18800E-02      1.70000E-04      5.37400E+02      2.18700E+01       # Lab                   
      3.21300E-02      1.70000E-04      5.46220E+02      2.22500E+01       # Lab                   
      3.23800E-02      1.70000E-04      5.65350E+02      2.29900E+01       # Lab                   
      3.26300E-02      1.70000E-04      5.70970E+02      2.32100E+01       # Lab                   
      3.28800E-02      1.70000E-04      5.15020E+02      2.11400E+01       # Lab                   
      3.31300E-02      1.80000E-04      5.53470E+02      2.26500E+01       # Lab                   
      3.33800E-02      1.80000E-04      5.66770E+02      2.31400E+01       # Lab                   
      3.36300E-02      1.80000E-04      5.22040E+02      2.14900E+01       # Lab                   
      3.38800E-02      1.80000E-04      4.85040E+02      2.01100E+01       # Lab                   
      3.41300E-02      1.80000E-04      5.16340E+02      2.12400E+01       # Lab                   
      3.43800E-02      1.90000E-04      5.28020E+02      2.16100E+01       # Lab                   
      3.46300E-02      1.90000E-04      5.37750E+02      2.20600E+01       # Lab                   
      3.48800E-02      1.90000E-04      5.61120E+02      2.28300E+01       # Lab                   
      3.51300E-02      1.90000E-04      5.26280E+02      2.15500E+01       # Lab                   
      3.53800E-02      1.90000E-04      5.62650E+02      2.27700E+01       # Lab                   
      3.56300E-02      2.00000E-04      5.54110E+02      2.24500E+01       # Lab                   
