# entry       : 40520 
# subentry    : 002 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG) 
# year        : 1977 
# author      : V.N.Kononov 
# institute   : 4RUSFEI 
# reference   : (R,YK-22,29,1977) 
# facility    : {'type': 'VDG', 'x4code': '4RUSFEI'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      5.00000E-03      0.00000E+00      2.28000E+03      0.00000E+00       # Lab                   
      6.00000E-03      0.00000E+00      2.00000E+03      0.00000E+00       # Lab                   
      7.00000E-03      0.00000E+00      1.65800E+03      0.00000E+00       # Lab                   
      8.00000E-03      0.00000E+00      1.46800E+03      0.00000E+00       # Lab                   
      9.00000E-03      0.00000E+00      1.24800E+03      0.00000E+00       # Lab                   
      1.00000E-02      0.00000E+00      1.24000E+03      0.00000E+00       # Lab                   
      1.10000E-02      0.00000E+00      1.27300E+03      0.00000E+00       # Lab                   
      1.20000E-02      0.00000E+00      1.06600E+03      0.00000E+00       # Lab                   
      1.30000E-02      0.00000E+00      9.81000E+02      0.00000E+00       # Lab                   
      1.40000E-02      0.00000E+00      9.38000E+02      0.00000E+00       # Lab                   
      1.50000E-02      0.00000E+00      8.88000E+02      0.00000E+00       # Lab                   
      1.60000E-02      0.00000E+00      8.63000E+02      0.00000E+00       # Lab                   
      1.70000E-02      0.00000E+00      8.34000E+02      0.00000E+00       # Lab                   
      1.80000E-02      0.00000E+00      7.75000E+02      0.00000E+00       # Lab                   
      1.90000E-02      0.00000E+00      7.24000E+02      0.00000E+00       # Lab                   
      2.00000E-02      0.00000E+00      7.12000E+02      0.00000E+00       # Lab                   
      2.20000E-02      0.00000E+00      6.85000E+02      0.00000E+00       # Lab                   
      2.40000E-02      0.00000E+00      6.54000E+02      0.00000E+00       # Lab                   
      2.60000E-02      0.00000E+00      6.33000E+02      0.00000E+00       # Lab                   
      2.80000E-02      0.00000E+00      6.15000E+02      0.00000E+00       # Lab                   
      3.00000E-02      0.00000E+00      5.79000E+02      0.00000E+00       # Lab                   
