# entry       : 21848 
# subentry    : 002 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG) 
# year        : 1968 
# author      : W.P.Poenitz 
# institute   : 2GERKFK 
# reference   : (J,JNE,22,505,6808) 
# facility    : {'x4code': 'VDG  '}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      2.47000E-02      1.30000E-03      6.76000E+02      0.00000E+00       # Lab                   
      2.50000E-02      9.00000E-04      6.39000E+02      0.00000E+00       # Lab                   
      3.08000E-02      1.30000E-03      5.91000E+02      0.00000E+00       # Lab                   
      3.60000E-02      1.60000E-03      4.88000E+02      0.00000E+00       # Lab                   
      4.46000E-02      2.30000E-03      4.59000E+02      0.00000E+00       # Lab                   
      4.74000E-02      1.70000E-03      4.57000E+02      0.00000E+00       # Lab                   
      5.09000E-02      1.80000E-03      4.47000E+02      0.00000E+00       # Lab                   
      5.83000E-02      2.60000E-03      4.22000E+02      0.00000E+00       # Lab                   
      6.19000E-02      2.70000E-03      3.97000E+02      0.00000E+00       # Lab                   
      8.23000E-02      3.00000E-03      3.40000E+02      0.00000E+00       # Lab                   
      8.88000E-02      3.00000E-03      3.18000E+02      0.00000E+00       # Lab                   
      1.03300E-01      3.00000E-03      3.28000E+02      0.00000E+00       # Lab                   
      1.34000E-01      3.00000E-03      2.94000E+02      0.00000E+00       # Lab                   
      1.53000E-01      5.00000E-03      2.75000E+02      0.00000E+00       # Lab                   
      1.71000E-01      4.00000E-03      2.73000E+02      0.00000E+00       # Lab                   
      1.79000E-01      4.00000E-03      2.68000E+02      0.00000E+00       # Lab                   
      1.84000E-01      4.00000E-03      2.65000E+02      0.00000E+00       # Lab                   
      1.91000E-01      3.00000E-03      2.63000E+02      0.00000E+00       # Lab                   
      2.27000E-01      4.00000E-03      2.50000E+02      0.00000E+00       # Lab                   
      2.80000E-01      7.00000E-03      2.09000E+02      0.00000E+00       # Lab                   
      3.42000E-01      8.00000E-03      1.85000E+02      0.00000E+00       # Lab                   
      4.73000E-01      1.00000E-02      1.42000E+02      0.00000E+00       # Lab                   
