# entry       : 12213 
# subentry    : 002 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG) 
# year        : 1961 
# author      : S.A.Cox 
# institute   : 1USAANL 
# reference   : (J,PR,122,1280,61) 
# facility    : None
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      3.00000E-02      2.50000E-02      8.09000E+02      0.00000E+00       # Lab                   
      5.00000E-02      2.50000E-02      5.93000E+02      0.00000E+00       # Lab                   
      6.00000E-02      2.50000E-02      5.23000E+02      0.00000E+00       # Lab                   
      7.75000E-02      2.50000E-02      4.63000E+02      0.00000E+00       # Lab                   
      1.00000E-01      0.00000E+00      4.03000E+02      0.00000E+00       # Lab                   
      1.50000E-01      0.00000E+00      3.30000E+02      0.00000E+00       # Lab                   
      2.00000E-01      0.00000E+00      3.19000E+02      0.00000E+00       # Lab                   
      2.50000E-01      0.00000E+00      3.01000E+02      0.00000E+00       # Lab                   
      3.00000E-01      0.00000E+00      2.70000E+02      0.00000E+00       # Lab                   
      4.00000E-01      0.00000E+00      2.03000E+02      0.00000E+00       # Lab                   
      5.00000E-01      0.00000E+00      1.63000E+02      0.00000E+00       # Lab                   
      6.00000E-01      0.00000E+00      1.30000E+02      0.00000E+00       # Lab                   
      7.00000E-01      0.00000E+00      1.18000E+02      0.00000E+00       # Lab                   
      8.00000E-01      0.00000E+00      1.05000E+02      0.00000E+00       # Lab                   
      9.00000E-01      0.00000E+00      9.90000E+01      0.00000E+00       # Lab                   
      1.00000E+00      8.00000E-02      9.20000E+01      0.00000E+00       # Lab                   
      1.10000E+00      8.00000E-02      8.10000E+01      0.00000E+00       # Lab                   
      1.20000E+00      8.00000E-02      8.80000E+01      0.00000E+00       # Lab                   
      1.30000E+00      8.00000E-02      8.00000E+01      0.00000E+00       # Lab                   
      1.40000E+00      8.00000E-02      7.40000E+01      0.00000E+00       # Lab                   
      1.50000E+00      8.00000E-02      7.50000E+01      0.00000E+00       # Lab                   
