# entry       : 30114 
# subentry    : 007 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG) 
# year        : 1968 
# author      : L.M.Spitz 
# institute   : 3SAFPEL 
# reference   : (J,NP/A,121,655,196812) 
# facility    : {'type': 'VDG', 'x4code': '3SAFPEL'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      1.52000E-02      7.00000E-06      7.45000E+02      1.40000E+02       # Lab                   
      1.60000E-02      0.00000E+00      7.49000E+02      1.16000E+02       # Lab                   
      1.70000E-02      0.00000E+00      8.79000E+02      1.26000E+02       # Lab                   
      1.81000E-02      0.00000E+00      7.78000E+02      1.11000E+02       # Lab                   
      1.93000E-02      0.00000E+00      5.85000E+02      8.60000E+01       # Lab                   
      2.05000E-02      0.00000E+00      7.42000E+02      9.50000E+01       # Lab                   
      2.20000E-02      0.00000E+00      6.69000E+02      8.50000E+01       # Lab                   
      2.35000E-02      0.00000E+00      6.91000E+02      8.40000E+01       # Lab                   
      2.53000E-02      0.00000E+00      5.70000E+02      6.80000E+01       # Lab                   
      2.72000E-02      0.00000E+00      5.70000E+02      6.50000E+01       # Lab                   
      2.94000E-02      0.00000E+00      5.13000E+02      5.90000E+01       # Lab                   
      3.18000E-02      0.00000E+00      4.75000E+02      5.30000E+01       # Lab                   
      3.46000E-02      0.00000E+00      4.85000E+02      5.30000E+01       # Lab                   
      3.77000E-02      0.00000E+00      4.37000E+02      4.80000E+01       # Lab                   
      4.13000E-02      0.00000E+00      4.35000E+02      4.70000E+01       # Lab                   
      4.55000E-02      0.00000E+00      3.71000E+02      4.00000E+01       # Lab                   
      5.02000E-02      2.30000E-05      3.44000E+02      3.80000E+01       # Lab                   
      5.58000E-02      0.00000E+00      3.00000E+02      3.20000E+01       # Lab                   
