# entry       : 21188 
# subentry    : 002 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198-G,,SIG) 
# year        : 1964 
# author      : J.F.Barry 
# institute   : 2UK ALD 
# reference   : (J,JNE/AB,18,491,196409) 
# facilitie   : {'type': 'VDG', 'x4code': '2UK ALD'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      1.27000E-01      1.80000E-02      3.21000E+02      0.00000E+00       # Lab                   
      1.62000E-01      2.20000E-02      3.21000E+02      0.00000E+00       # Lab                   
      2.09000E-01      2.10000E-02      2.90000E+02      0.00000E+00       # Lab                   
      3.14000E-01      2.00000E-02      2.32000E+02      0.00000E+00       # Lab                   
      4.06000E-01      2.00000E-02      1.88000E+02      0.00000E+00       # Lab                   
      5.07000E-01      2.00000E-02      1.61000E+02      0.00000E+00       # Lab                   
      6.00000E-01      2.00000E-02      1.27000E+02      0.00000E+00       # Lab                   
      7.46000E-01      5.90000E-02      1.12000E+02      0.00000E+00       # Lab                   
      1.00000E+00      5.00000E-02      0.00000E+00      0.00000E+00       # Lab                   
      1.01400E+00      5.40000E-02      9.90000E+01      0.00000E+00       # Lab                   
      1.30800E+00      5.20000E-02      9.30000E+01      0.00000E+00       # Lab                   
      1.78900E+00      1.00000E-01      7.70000E+01      0.00000E+00       # Lab                   
      2.25000E+00      5.00000E-02      0.00000E+00      0.00000E+00       # Lab                   
