# entry       : 40312 
# subentry    : 004 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG,,AV) 
# year        : 1976 
# author      : Yu.V.Ryabov 
# institute   : 4ZZZDUB 
# reference   : (J,SJA,41,655,1976) 
# facility    : {'type': 'REAC', 'x4code': '4ZZZDUB'} 
# frame       : 
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      1.49000E-04      4.80000E-05      1.87100E+04      9.40000E+02
      2.47000E-04      5.00000E-05      1.90600E+04      9.80000E+02
      3.47500E-04      5.05000E-05      8.65000E+03      4.30000E+02
      4.47500E-04      4.95000E-05      1.02800E+04      5.60000E+02
      5.41000E-04      4.40000E-05      1.30900E+04      9.20000E+02
      6.42000E-04      5.70000E-05      6.05000E+03      4.50000E+02
      7.53500E-04      5.45000E-05      5.39000E+03      3.80000E+02
      8.51500E-04      4.35000E-05      5.76000E+03      4.00000E+02
      9.46000E-04      5.10000E-05      6.84000E+03      4.80000E+02
      1.45450E-03      4.57500E-04      4.70000E+03      3.30000E+02
      2.42100E-03      5.09000E-04      3.39000E+03      2.70000E+02
