# entry       : 12515 
# subentry    : 006 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG) 
# year        : 1951 
# author      : P.R.Tunnicliffe 
# institute   : 1CANCRC 
# reference   : (R,CRGP-458,5101) 
# facility    : None 
# frame       : Lab
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      1.06000E-08      0.00000E+00      9.40000E+05      0.00000E+00
      1.10000E-08      0.00000E+00      8.38000E+05      0.00000E+00
      1.13000E-08      0.00000E+00      8.42000E+05      0.00000E+00
      1.16000E-08      0.00000E+00      8.85000E+05      0.00000E+00
      1.19000E-08      0.00000E+00      8.85000E+05      0.00000E+00
      1.25000E-08      0.00000E+00      8.13000E+05      0.00000E+00
      1.30000E-08      0.00000E+00      8.85000E+05      0.00000E+00
      1.35000E-08      0.00000E+00      8.13000E+05      0.00000E+00
      1.44000E-08      0.00000E+00      8.22000E+05      0.00000E+00
      1.50000E-08      0.00000E+00      7.43000E+05      0.00000E+00
      1.55000E-08      0.00000E+00      7.80000E+05      0.00000E+00
      1.61000E-08      0.00000E+00      7.72000E+05      0.00000E+00
      1.68000E-08      0.00000E+00      7.70000E+05      0.00000E+00
      1.77000E-08      0.00000E+00      7.35000E+05      0.00000E+00
      1.84000E-08      0.00000E+00      7.22000E+05      0.00000E+00
      1.96000E-08      0.00000E+00      7.00000E+05      0.00000E+00
      2.00000E-08      0.00000E+00      6.67000E+05      0.00000E+00
      2.10000E-08      0.00000E+00      7.20000E+05      0.00000E+00
      2.20000E-08      0.00000E+00      6.48000E+05      0.00000E+00
      2.30000E-08      0.00000E+00      6.53000E+05      0.00000E+00
      2.41000E-08      0.00000E+00      6.00000E+05      0.00000E+00
      2.52000E-08      0.00000E+00      6.00000E+05      0.00000E+00
      2.67000E-08      0.00000E+00      6.22000E+05      0.00000E+00
      2.81000E-08      0.00000E+00      5.53000E+05      0.00000E+00
      3.00000E-08      0.00000E+00      5.67000E+05      0.00000E+00
      3.18000E-08      0.00000E+00      5.28000E+05      0.00000E+00
      3.38000E-08      0.00000E+00      5.63000E+05      0.00000E+00
      3.59000E-08      0.00000E+00      5.08000E+05      0.00000E+00
      3.80000E-08      0.00000E+00      5.08000E+05      0.00000E+00
      4.10000E-08      0.00000E+00      4.70000E+05      0.00000E+00
      4.40000E-08      0.00000E+00      4.87000E+05      0.00000E+00
      4.73000E-08      0.00000E+00      4.60000E+05      0.00000E+00
      5.06000E-08      0.00000E+00      4.58000E+05      0.00000E+00
      5.50000E-08      0.00000E+00      4.60000E+05      0.00000E+00
      5.92000E-08      0.00000E+00      4.65000E+05      0.00000E+00
      6.45000E-08      0.00000E+00      4.35000E+05      0.00000E+00
      7.05000E-08      0.00000E+00      4.40000E+05      0.00000E+00
      7.95000E-08      0.00000E+00      4.13000E+05      0.00000E+00
      8.42000E-08      0.00000E+00      4.36000E+05      0.00000E+00
      9.42000E-08      0.00000E+00      3.94000E+05      0.00000E+00
      1.06000E-07      0.00000E+00      3.88000E+05      0.00000E+00
      1.20000E-07      0.00000E+00      4.05000E+05      0.00000E+00
      1.33000E-07      0.00000E+00      4.00000E+05      0.00000E+00
      1.51000E-07      0.00000E+00      4.45000E+05      0.00000E+00
      1.54000E-07      0.00000E+00      4.55000E+05      0.00000E+00
      1.55000E-07      0.00000E+00      4.88000E+05      0.00000E+00
      1.61000E-07      0.00000E+00      4.75000E+05      0.00000E+00
      1.67000E-07      0.00000E+00      4.80000E+05      0.00000E+00
      1.75000E-07      0.00000E+00      5.18000E+05      0.00000E+00
      1.75000E-07      0.00000E+00      5.00000E+05      0.00000E+00
      1.80000E-07      0.00000E+00      5.66000E+05      0.00000E+00
      1.87000E-07      0.00000E+00      6.05000E+05      0.00000E+00
      1.92000E-07      0.00000E+00      6.20000E+05      0.00000E+00
      2.02000E-07      0.00000E+00      6.55000E+05      0.00000E+00
      2.04000E-07      0.00000E+00      6.70000E+05      0.00000E+00
      2.09000E-07      0.00000E+00      7.35000E+05      0.00000E+00
      2.20000E-07      0.00000E+00      8.40000E+05      0.00000E+00
      2.26000E-07      0.00000E+00      1.00100E+06      0.00000E+00
      2.35000E-07      0.00000E+00      1.13000E+06      0.00000E+00
      2.35000E-07      0.00000E+00      1.08000E+06      0.00000E+00
      2.45000E-07      0.00000E+00      1.17000E+06      0.00000E+00
      2.57000E-07      0.00000E+00      1.66000E+06      0.00000E+00
      2.68000E-07      0.00000E+00      2.05000E+06      0.00000E+00
      2.69000E-07      0.00000E+00      2.31000E+06      0.00000E+00
      2.80000E-07      0.00000E+00      2.38000E+06      0.00000E+00
      2.91000E-07      0.00000E+00      2.65000E+06      0.00000E+00
      3.09000E-07      0.00000E+00      2.35000E+06      0.00000E+00
      3.20000E-07      0.00000E+00      2.00900E+06      0.00000E+00
      3.40000E-07      0.00000E+00      1.30000E+06      0.00000E+00
      3.40000E-07      0.00000E+00      1.43000E+06      0.00000E+00
      3.55000E-07      0.00000E+00      9.85000E+05      0.00000E+00
      3.72000E-07      0.00000E+00      6.82000E+05      0.00000E+00
      4.12000E-07      0.00000E+00      3.24000E+05      0.00000E+00
      4.25000E-07      0.00000E+00      2.95000E+05      0.00000E+00
      4.41000E-07      0.00000E+00      2.40000E+05      0.00000E+00
      4.69000E-07      0.00000E+00      1.38000E+05      0.00000E+00
      5.00000E-07      0.00000E+00      1.24000E+05      0.00000E+00
      5.40000E-07      0.00000E+00      1.02000E+05      0.00000E+00
