# entry       : 20917 
# subentry    : 024 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG,,,DERIV) 
# year        : 1966 
# author      : F.D.Brooks 
# institute   : 2UK HAR 
# reference   : (R,AERE-M-1709,196609) 
# facility    : {'type': 'LINAC', 'x4code': '2UK HAR'} 
# frame       : Lab
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      1.60200E-06      0.00000E+00      1.82700E+04      2.35000E+03
      1.60700E-06      0.00000E+00      1.87600E+04      2.49000E+03
      1.61300E-06      0.00000E+00      1.93600E+04      2.46000E+03
      1.61800E-06      0.00000E+00      1.89400E+04      2.65000E+03
      1.62400E-06      0.00000E+00      1.86400E+04      2.64000E+03
      1.63000E-06      0.00000E+00      1.97800E+04      2.69000E+03
      1.63500E-06      0.00000E+00      1.68600E+04      2.35000E+03
      1.64100E-06      0.00000E+00      1.84400E+04      2.39000E+03
      1.64700E-06      0.00000E+00      1.74700E+04      2.48000E+03
      1.65300E-06      0.00000E+00      1.88700E+04      2.45000E+03
      1.65900E-06      0.00000E+00      1.84400E+04      2.63000E+03
      1.66500E-06      0.00000E+00      1.84200E+04      2.44000E+03
      1.67000E-06      0.00000E+00      1.95300E+04      2.35000E+03
      1.67600E-06      0.00000E+00      1.79400E+04      2.38000E+03
      1.68200E-06      0.00000E+00      1.67000E+04      2.67000E+03
      1.68800E-06      0.00000E+00      1.87300E+04      2.26000E+03
      1.69400E-06      0.00000E+00      1.80100E+04      2.53000E+03
      1.70000E-06      0.00000E+00      1.97100E+04      2.39000E+03
      1.70600E-06      0.00000E+00      1.79600E+04      2.84000E+03
      1.71300E-06      0.00000E+00      1.87600E+04      2.31000E+03
      1.71900E-06      0.00000E+00      1.79100E+04      2.34000E+03
      1.72500E-06      0.00000E+00      1.73800E+04      2.39000E+03
      1.73100E-06      0.00000E+00      1.89400E+04      2.27000E+03
      1.73700E-06      0.00000E+00      1.90800E+04      2.32000E+03
      1.74400E-06      0.00000E+00      1.68800E+04      2.39000E+03
      1.75000E-06      0.00000E+00      1.72900E+04      2.35000E+03
      1.75600E-06      0.00000E+00      1.58600E+04      2.69000E+03
      1.76300E-06      0.00000E+00      1.75900E+04      2.55000E+03
      1.76900E-06      0.00000E+00      1.84100E+04      2.45000E+03
      1.77600E-06      0.00000E+00      1.65400E+04      2.43000E+03
      1.78200E-06      0.00000E+00      1.79000E+04      2.28000E+03
      1.78900E-06      0.00000E+00      1.83300E+04      2.50000E+03
      1.79500E-06      0.00000E+00      1.79300E+04      2.55000E+03
      1.80200E-06      0.00000E+00      1.66100E+04      2.39000E+03
      1.80900E-06      0.00000E+00      1.70300E+04      2.54000E+03
      1.81500E-06      0.00000E+00      1.50500E+04      2.30000E+03
      1.82200E-06      0.00000E+00      1.53100E+04      2.51000E+03
      1.82900E-06      0.00000E+00      1.71300E+04      2.25000E+03
      1.83500E-06      0.00000E+00      1.59800E+04      2.44000E+03
      1.84200E-06      0.00000E+00      1.66400E+04      2.38000E+03
      1.84900E-06      0.00000E+00      1.72800E+04      2.47000E+03
      1.85600E-06      0.00000E+00      1.62300E+04      2.72000E+03
      1.86300E-06      0.00000E+00      1.52600E+04      2.55000E+03
      1.87000E-06      0.00000E+00      1.71400E+04      2.57000E+03
      1.87700E-06      0.00000E+00      1.55700E+04      2.42000E+03
      1.88400E-06      0.00000E+00      1.70000E+04      2.14000E+03
      1.89100E-06      0.00000E+00      1.68900E+04      2.80000E+03
      1.89800E-06      0.00000E+00      1.62200E+04      2.52000E+03
      1.90500E-06      0.00000E+00      1.59400E+04      2.33000E+03
