# entry       : 20476 
# subentry    : 003 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG,,AV) 
# year        : 1970 
# author      : M.G.Schomberg 
# institute   : 2UK HAR 
# reference   : (C,70HELSINKI,1,315,1970) 
# facility    : {'type': 'LINAC', 'x4code': '2UK HAR'} 
# frame       : 
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      1.50000E-04      5.00000E-05      1.85500E+04      0.00000E+00
      2.50000E-04      5.00000E-05      1.84300E+04      0.00000E+00
      3.50000E-04      5.00000E-05      8.76000E+03      0.00000E+00
      4.50000E-04      5.00000E-05      9.75000E+03      0.00000E+00
      5.50000E-04      5.00000E-05      1.56800E+04      0.00000E+00
      6.50000E-04      5.00000E-05      4.80000E+03      0.00000E+00
      7.50000E-04      5.00000E-05      5.49000E+03      0.00000E+00
      8.50000E-04      5.00000E-05      5.38000E+03      0.00000E+00
      9.50000E-04      5.00000E-05      8.04000E+03      0.00000E+00
      1.50000E-03      5.00000E-04      4.71000E+03      0.00000E+00
      2.50000E-03      5.00000E-04      3.43000E+03      0.00000E+00
      3.50000E-03      5.00000E-04      3.11000E+03      0.00000E+00
      4.50000E-03      5.00000E-04      2.43000E+03      0.00000E+00
      6.50000E-03      5.00000E-04      2.03000E+03      0.00000E+00
      7.50000E-03      5.00000E-04      2.16000E+03      0.00000E+00
      8.50000E-03      5.00000E-04      2.20000E+03      0.00000E+00
      9.50000E-03      5.00000E-04      1.90000E+03      0.00000E+00
      1.25000E-02      2.50000E-03      1.72000E+03      0.00000E+00
      1.75000E-02      2.50000E-03      1.60000E+03      0.00000E+00
      2.25000E-02      2.50000E-03      1.56000E+03      0.00000E+00
      2.75000E-02      2.50000E-03      1.62000E+03      0.00000E+00
