# entry       : 21704 
# subentry    : 012 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG) 
# year        : 1980 
# author      : C.Wagemans 
# institute   : 2BLGMOL 
# reference   : (J,ANE,7,495,1980) 
# facility    : {'type': 'LINAC', 'x4code': '2ZZZGEL'} 
# frame       : Lab
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      4.99630E-03      0.00000E+00      2.54430E+03      0.00000E+00
      4.98350E-03      0.00000E+00      1.97940E+03      0.00000E+00
      4.97070E-03      0.00000E+00      2.68150E+03      0.00000E+00
      4.95800E-03      0.00000E+00      1.79410E+03      0.00000E+00
      4.94530E-03      0.00000E+00      1.64160E+03      0.00000E+00
      4.93270E-03      0.00000E+00      1.60330E+03      0.00000E+00
      4.92010E-03      0.00000E+00      1.02990E+03      0.00000E+00
      4.90760E-03      0.00000E+00      1.96270E+03      0.00000E+00
      4.89510E-03      0.00000E+00      2.19220E+03      0.00000E+00
      4.88270E-03      0.00000E+00      1.85120E+03      0.00000E+00
      4.87030E-03      0.00000E+00      2.89100E+03      0.00000E+00
      4.85800E-03      0.00000E+00      2.37750E+03      0.00000E+00
      4.84570E-03      0.00000E+00      3.59980E+03      0.00000E+00
      4.83350E-03      0.00000E+00      7.88920E+02      0.00000E+00
      4.82130E-03      0.00000E+00      2.25680E+03      0.00000E+00
      4.80920E-03      0.00000E+00      1.58840E+03      0.00000E+00
      4.79710E-03      0.00000E+00      9.44490E+02      0.00000E+00
      4.78500E-03      0.00000E+00      3.11580E+03      0.00000E+00
      4.77300E-03      0.00000E+00      3.14330E+03      0.00000E+00
      4.76100E-03      0.00000E+00      2.76010E+03      0.00000E+00
      4.74910E-03      0.00000E+00      2.53780E+03      0.00000E+00
      4.73720E-03      0.00000E+00      2.62970E+03      0.00000E+00
      4.72540E-03      0.00000E+00      2.07940E+03      0.00000E+00
      4.71360E-03      0.00000E+00      1.98180E+03      0.00000E+00
      4.70190E-03      0.00000E+00      1.61670E+03      0.00000E+00
      4.69020E-03      0.00000E+00      3.27840E+03      0.00000E+00
      4.67850E-03      0.00000E+00      3.68550E+03      0.00000E+00
      4.66690E-03      0.00000E+00      2.64570E+03      0.00000E+00
      4.65540E-03      0.00000E+00      2.36310E+03      0.00000E+00
      4.64380E-03      0.00000E+00      2.62860E+03      0.00000E+00
      4.63240E-03      0.00000E+00      3.31010E+03      0.00000E+00
      4.62090E-03      0.00000E+00      3.07570E+03      0.00000E+00
      4.60950E-03      0.00000E+00      2.91300E+03      0.00000E+00
      4.59820E-03      0.00000E+00      2.89920E+03      0.00000E+00
      4.58690E-03      0.00000E+00      1.71220E+03      0.00000E+00
      4.57560E-03      0.00000E+00      2.77050E+03      0.00000E+00
      4.56440E-03      0.00000E+00      4.17170E+03      0.00000E+00
      4.55320E-03      0.00000E+00      4.09400E+03      0.00000E+00
      4.54200E-03      0.00000E+00      2.52870E+03      0.00000E+00
      4.53090E-03      0.00000E+00      2.29760E+03      0.00000E+00
      4.51990E-03      0.00000E+00      2.67410E+03      0.00000E+00
      4.50880E-03      0.00000E+00      2.90000E+03      0.00000E+00
      4.49790E-03      0.00000E+00      3.16890E+03      0.00000E+00
      4.48690E-03      0.00000E+00      2.91070E+03      0.00000E+00
      4.47600E-03      0.00000E+00      3.53980E+03      0.00000E+00
      4.46510E-03      0.00000E+00      2.99300E+03      0.00000E+00
      4.45430E-03      0.00000E+00      3.33680E+03      0.00000E+00
      4.44350E-03      0.00000E+00      2.79670E+03      0.00000E+00
      4.43280E-03      0.00000E+00      2.75260E+03      0.00000E+00
      4.42210E-03      0.00000E+00      2.55850E+03      0.00000E+00
      4.41140E-03      0.00000E+00      3.58440E+03      0.00000E+00
      4.40080E-03      0.00000E+00      3.13240E+03      0.00000E+00
      4.39020E-03      0.00000E+00      2.06020E+03      0.00000E+00
      4.37960E-03      0.00000E+00      2.99490E+03      0.00000E+00
      4.36910E-03      0.00000E+00      1.35970E+03      0.00000E+00
      4.35860E-03      0.00000E+00      1.81320E+03      0.00000E+00
      4.34820E-03      0.00000E+00      2.40860E+03      0.00000E+00
      4.33780E-03      0.00000E+00      2.47900E+03      0.00000E+00
      4.32740E-03      0.00000E+00      2.46220E+03      0.00000E+00
      4.31710E-03      0.00000E+00      2.88020E+03      0.00000E+00
      4.30680E-03      0.00000E+00      1.01350E+03      0.00000E+00
      4.29660E-03      0.00000E+00      1.53670E+03      0.00000E+00
      4.28630E-03      0.00000E+00      2.00050E+03      0.00000E+00
      4.27620E-03      0.00000E+00      1.02910E+03      0.00000E+00
      4.26600E-03      0.00000E+00      1.06430E+03      0.00000E+00
      4.25590E-03      0.00000E+00      3.61450E+03      0.00000E+00
      4.24580E-03      0.00000E+00      3.16840E+03      0.00000E+00
      4.23580E-03      0.00000E+00      4.11860E+03      0.00000E+00
      4.22580E-03      0.00000E+00      2.43030E+03      0.00000E+00
      4.21580E-03      0.00000E+00      2.70560E+03      0.00000E+00
      4.20590E-03      0.00000E+00      2.34370E+03      0.00000E+00
      4.19600E-03      0.00000E+00      2.45540E+03      0.00000E+00
      4.18610E-03      0.00000E+00      1.87920E+03      0.00000E+00
      4.17630E-03      0.00000E+00      1.98910E+03      0.00000E+00
      4.16650E-03      0.00000E+00      9.08640E+02      0.00000E+00
      4.15680E-03      0.00000E+00      1.54270E+03      0.00000E+00
      4.14700E-03      0.00000E+00      3.15570E+03      0.00000E+00
      4.13730E-03      0.00000E+00      1.97750E+03      0.00000E+00
      4.12770E-03      0.00000E+00      1.90990E+03      0.00000E+00
      4.11810E-03      0.00000E+00      1.22960E+03      0.00000E+00
