# entry       : 12877 
# subentry    : 012 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG,,AV) 
# year        : 1984 
# author      : L.W.Weston 
# institute   : 1USAORL 
# reference   : (J,NSE,88,567,1984) 
# facility    : {'type': 'LINAC', 'x4code': '1USAORL'} 
# frame       : 
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      1.81550E-05      4.44500E-06      8.07600E+04      0.00000E+00
      4.20200E-05      1.94200E-05      3.08600E+04      0.00000E+00
      1.14220E-04      5.27800E-05      3.12100E+04      0.00000E+00
      3.10500E-04      1.43500E-04      1.23100E+04      0.00000E+00
      8.44000E-04      3.90000E-04      6.99000E+03      0.00000E+00
      2.29450E-03      1.06050E-03      3.50000E+03      0.00000E+00
      6.23700E-03      2.88200E-03      2.18000E+03      0.00000E+00
      1.69545E-02      7.83550E-03      1.67000E+03      0.00000E+00
      4.60850E-02      2.12950E-02      1.48000E+03      0.00000E+00
      8.92400E-02      2.18600E-02      1.42000E+03      0.00000E+00
