# entry       : 10035 
# subentry    : 009 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG) 
# year        : 1971 
# author      : R.Gwin 
# institute   : 1USAORL 
# reference   : (J,NSE,45,25,197107) 
# facility    : {'type': 'LINAC', 'x4code': '1USARPI'} 
# frame       : Lab
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      3.91660E-05      0.00000E+00      5.60000E+02      0.00000E+00
      3.92500E-05      0.00000E+00      1.09000E+03      0.00000E+00
      3.93360E-05      0.00000E+00      1.10000E+03      0.00000E+00
      3.94210E-05      0.00000E+00      1.10000E+03      0.00000E+00
      3.95070E-05      0.00000E+00      7.40000E+02      0.00000E+00
      3.95930E-05      0.00000E+00      1.57000E+03      0.00000E+00
      3.96790E-05      0.00000E+00      1.47000E+03      0.00000E+00
      3.97650E-05      0.00000E+00      1.33000E+03      0.00000E+00
      3.98520E-05      0.00000E+00      1.61000E+03      0.00000E+00
      3.99390E-05      0.00000E+00      1.18000E+03      0.00000E+00
      4.00270E-05      0.00000E+00      1.41000E+03      0.00000E+00
      4.01140E-05      0.00000E+00      1.74000E+03      0.00000E+00
      4.02020E-05      0.00000E+00      2.16000E+03      0.00000E+00
      4.02910E-05      0.00000E+00      1.75000E+03      0.00000E+00
      4.03790E-05      0.00000E+00      1.59000E+03      0.00000E+00
      4.04680E-05      0.00000E+00      1.77000E+03      0.00000E+00
      4.05570E-05      0.00000E+00      2.60000E+03      0.00000E+00
      4.06470E-05      0.00000E+00      2.69000E+03      0.00000E+00
      4.07360E-05      0.00000E+00      3.15000E+03      0.00000E+00
      4.08260E-05      0.00000E+00      3.77000E+03      0.00000E+00
      4.09170E-05      0.00000E+00      2.71000E+03      0.00000E+00
      4.10070E-05      0.00000E+00      4.67000E+03      0.00000E+00
      4.10980E-05      0.00000E+00      6.60000E+03      0.00000E+00
      4.11890E-05      0.00000E+00      1.28400E+04      0.00000E+00
      4.12810E-05      0.00000E+00      3.54400E+04      0.00000E+00
      4.13730E-05      0.00000E+00      6.95300E+04      0.00000E+00
      4.14650E-05      0.00000E+00      1.02390E+05      0.00000E+00
      4.15570E-05      0.00000E+00      1.14680E+05      0.00000E+00
      4.16500E-05      0.00000E+00      1.22660E+05      0.00000E+00
      4.17430E-05      0.00000E+00      1.06100E+05      0.00000E+00
      4.18370E-05      0.00000E+00      6.46900E+04      0.00000E+00
      4.19300E-05      0.00000E+00      2.74100E+04      0.00000E+00
      4.20240E-05      0.00000E+00      1.10800E+04      0.00000E+00
      4.21190E-05      0.00000E+00      6.11000E+03      0.00000E+00
      4.22130E-05      0.00000E+00      2.62000E+03      0.00000E+00
      4.23080E-05      0.00000E+00      2.88000E+03      0.00000E+00
      4.24040E-05      0.00000E+00      2.33000E+03      0.00000E+00
      4.24990E-05      0.00000E+00      2.34000E+03      0.00000E+00
      4.25950E-05      0.00000E+00      1.02000E+03      0.00000E+00
      4.26910E-05      0.00000E+00      1.10000E+03      0.00000E+00
      4.27880E-05      0.00000E+00      7.20000E+02      0.00000E+00
      4.28850E-05      0.00000E+00      1.86000E+03      0.00000E+00
      4.29820E-05      0.00000E+00      2.15000E+03      0.00000E+00
      4.30800E-05      0.00000E+00      1.26000E+03      0.00000E+00
      4.31780E-05      0.00000E+00      1.83000E+03      0.00000E+00
      4.32760E-05      0.00000E+00      1.98000E+03      0.00000E+00
      4.33740E-05      0.00000E+00      1.83000E+03      0.00000E+00
      4.34730E-05      0.00000E+00      2.11000E+03      0.00000E+00
      4.35730E-05      0.00000E+00      1.94000E+03      0.00000E+00
      4.36720E-05      0.00000E+00      1.67000E+03      0.00000E+00
      4.37720E-05      0.00000E+00      3.11000E+03      0.00000E+00
      4.38720E-05      0.00000E+00      2.34000E+03      0.00000E+00
      4.39730E-05      0.00000E+00      4.23000E+03      0.00000E+00
      4.40740E-05      0.00000E+00      5.26000E+03      0.00000E+00
      4.41750E-05      0.00000E+00      8.92000E+03      0.00000E+00
      4.42770E-05      0.00000E+00      2.46800E+04      0.00000E+00
      4.43790E-05      0.00000E+00      6.52300E+04      0.00000E+00
      4.44810E-05      0.00000E+00      1.04760E+05      0.00000E+00
      4.45840E-05      0.00000E+00      8.91600E+04      0.00000E+00
      4.46870E-05      0.00000E+00      4.14200E+04      0.00000E+00
      4.47910E-05      0.00000E+00      1.47200E+04      0.00000E+00
      4.48940E-05      0.00000E+00      4.63000E+03      0.00000E+00
      4.49980E-05      0.00000E+00      3.43000E+03      0.00000E+00
      4.51030E-05      0.00000E+00      2.79000E+03      0.00000E+00
