# entry       : 14271 
# subentry    : 002 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG) 
# year        : 2010 
# author      : F.Tovesson 
# institute   : 1USALAS 
# reference   : (J,NSE,165,224,2010) 
# facilitie   : {'type': 'LINAC', 'x4code': '1USALAS'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      1.01000E-08      0.00000E+00      1.17900E+06      0.00000E+00       # Lab                   
      1.02000E-08      0.00000E+00      1.17200E+06      0.00000E+00       # Lab                   
      1.03000E-08      0.00000E+00      1.16800E+06      0.00000E+00       # Lab                   
      1.04000E-08      0.00000E+00      1.15900E+06      0.00000E+00       # Lab                   
      1.05000E-08      0.00000E+00      1.15200E+06      0.00000E+00       # Lab                   
      1.07000E-08      0.00000E+00      1.14300E+06      0.00000E+00       # Lab                   
      1.08000E-08      0.00000E+00      1.13900E+06      0.00000E+00       # Lab                   
      1.09000E-08      0.00000E+00      1.13400E+06      0.00000E+00       # Lab                   
      1.10000E-08      0.00000E+00      1.12800E+06      0.00000E+00       # Lab                   
      1.12000E-08      0.00000E+00      1.12200E+06      0.00000E+00       # Lab                   
      1.13000E-08      0.00000E+00      1.11700E+06      0.00000E+00       # Lab                   
      1.14000E-08      0.00000E+00      1.11200E+06      0.00000E+00       # Lab                   
      1.15000E-08      0.00000E+00      1.10500E+06      0.00000E+00       # Lab                   
      1.17000E-08      0.00000E+00      1.10300E+06      0.00000E+00       # Lab                   
      1.18000E-08      0.00000E+00      1.09600E+06      0.00000E+00       # Lab                   
      1.20000E-08      0.00000E+00      1.08600E+06      0.00000E+00       # Lab                   
      1.21000E-08      0.00000E+00      1.08100E+06      0.00000E+00       # Lab                   
      1.22000E-08      0.00000E+00      1.06900E+06      0.00000E+00       # Lab                   
      1.24000E-08      0.00000E+00      1.06300E+06      0.00000E+00       # Lab                   
      1.25000E-08      0.00000E+00      1.05900E+06      0.00000E+00       # Lab                   
      1.27000E-08      0.00000E+00      1.05200E+06      0.00000E+00       # Lab                   
      1.28000E-08      0.00000E+00      1.04500E+06      0.00000E+00       # Lab                   
      1.30000E-08      0.00000E+00      1.04100E+06      0.00000E+00       # Lab                   
      1.31000E-08      0.00000E+00      1.03600E+06      0.00000E+00       # Lab                   
      1.33000E-08      0.00000E+00      1.02900E+06      0.00000E+00       # Lab                   
      1.34000E-08      0.00000E+00      1.02200E+06      0.00000E+00       # Lab                   
      1.36000E-08      0.00000E+00      1.01500E+06      0.00000E+00       # Lab                   
      1.37000E-08      0.00000E+00      1.00900E+06      0.00000E+00       # Lab                   
      1.39000E-08      0.00000E+00      1.00300E+06      0.00000E+00       # Lab                   
      1.40000E-08      0.00000E+00      9.96700E+05      0.00000E+00       # Lab                   
      1.42000E-08      0.00000E+00      9.93500E+05      0.00000E+00       # Lab                   
      1.44000E-08      0.00000E+00      9.90100E+05      0.00000E+00       # Lab                   
      1.45000E-08      0.00000E+00      9.85100E+05      0.00000E+00       # Lab                   
      1.47000E-08      0.00000E+00      9.81200E+05      0.00000E+00       # Lab                   
      1.49000E-08      0.00000E+00      9.76100E+05      0.00000E+00       # Lab                   
      1.50000E-08      0.00000E+00      9.72000E+05      0.00000E+00       # Lab                   
      1.52000E-08      0.00000E+00      9.67900E+05      0.00000E+00       # Lab                   
      1.54000E-08      0.00000E+00      9.64500E+05      0.00000E+00       # Lab                   
      1.56000E-08      0.00000E+00      9.58900E+05      0.00000E+00       # Lab                   
      1.58000E-08      0.00000E+00      9.51400E+05      0.00000E+00       # Lab                   
      1.59000E-08      0.00000E+00      9.46200E+05      0.00000E+00       # Lab                   
      1.61000E-08      0.00000E+00      9.41700E+05      0.00000E+00       # Lab                   
      1.63000E-08      0.00000E+00      9.36800E+05      0.00000E+00       # Lab                   
      1.65000E-08      0.00000E+00      9.29600E+05      0.00000E+00       # Lab                   
      1.67000E-08      0.00000E+00      9.23200E+05      0.00000E+00       # Lab                   
      1.69000E-08      0.00000E+00      9.20700E+05      0.00000E+00       # Lab                   
      1.71000E-08      0.00000E+00      9.15900E+05      0.00000E+00       # Lab                   
      1.73000E-08      0.00000E+00      9.12000E+05      0.00000E+00       # Lab                   
      1.75000E-08      0.00000E+00      9.08700E+05      0.00000E+00       # Lab                   
      1.77000E-08      0.00000E+00      9.03200E+05      0.00000E+00       # Lab                   
      1.79000E-08      0.00000E+00      8.98600E+05      0.00000E+00       # Lab                   
      1.81000E-08      0.00000E+00      8.94500E+05      0.00000E+00       # Lab                   
      1.83000E-08      0.00000E+00      8.89600E+05      0.00000E+00       # Lab                   
      1.85000E-08      0.00000E+00      8.85200E+05      0.00000E+00       # Lab                   
      1.87000E-08      0.00000E+00      8.79900E+05      0.00000E+00       # Lab                   
      1.89000E-08      0.00000E+00      8.73800E+05      0.00000E+00       # Lab                   
      1.92000E-08      0.00000E+00      8.69300E+05      0.00000E+00       # Lab                   
      1.94000E-08      0.00000E+00      8.66200E+05      0.00000E+00       # Lab                   
      1.96000E-08      0.00000E+00      8.61500E+05      0.00000E+00       # Lab                   
      1.98000E-08      0.00000E+00      8.57200E+05      0.00000E+00       # Lab                   
      2.01000E-08      0.00000E+00      8.53500E+05      0.00000E+00       # Lab                   
      2.03000E-08      0.00000E+00      8.49200E+05      0.00000E+00       # Lab                   
      2.05000E-08      0.00000E+00      8.44700E+05      0.00000E+00       # Lab                   
      2.08000E-08      0.00000E+00      8.40300E+05      0.00000E+00       # Lab                   
