# entry       : 40487 
# subentry    : 006 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG) 
# year        : 1979 
# author      : Yu.V.Ryabov 
# institute   : 4RUSJIA 
# reference   : (J,AE,46,154,1979) 
# facilitie   : {'type': 'REAC', 'x4code': '4ZZZDUB'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      3.18000E-03      0.00000E+00      3.16800E+03      0.00000E+00       # Lab                   
      3.34000E-03      0.00000E+00      2.96900E+03      0.00000E+00       # Lab                   
      3.51000E-03      0.00000E+00      2.95100E+03      0.00000E+00       # Lab                   
      3.70000E-03      0.00000E+00      3.12800E+03      0.00000E+00       # Lab                   
      3.91000E-03      0.00000E+00      2.78100E+03      0.00000E+00       # Lab                   
      4.13000E-03      0.00000E+00      2.55200E+03      0.00000E+00       # Lab                   
      4.38000E-03      0.00000E+00      2.25500E+03      0.00000E+00       # Lab                   
      4.64000E-03      0.00000E+00      2.42300E+03      0.00000E+00       # Lab                   
      4.93000E-03      0.00000E+00      2.31800E+03      0.00000E+00       # Lab                   
      5.25000E-03      0.00000E+00      2.26600E+03      0.00000E+00       # Lab                   
      5.60000E-03      0.00000E+00      2.16300E+03      0.00000E+00       # Lab                   
      5.99000E-03      0.00000E+00      2.15100E+03      0.00000E+00       # Lab                   
      6.41000E-03      0.00000E+00      2.01900E+03      0.00000E+00       # Lab                   
      6.89000E-03      0.00000E+00      2.09500E+03      0.00000E+00       # Lab                   
      7.42000E-03      0.00000E+00      2.23600E+03      0.00000E+00       # Lab                   
      8.01000E-03      0.00000E+00      2.29100E+03      0.00000E+00       # Lab                   
      8.68000E-03      0.00000E+00      2.18100E+03      0.00000E+00       # Lab                   
      9.44000E-03      0.00000E+00      2.01800E+03      0.00000E+00       # Lab                   
      1.03000E-02      0.00000E+00      1.76500E+03      0.00000E+00       # Lab                   
      1.12800E-02      0.00000E+00      1.63100E+03      0.00000E+00       # Lab                   
      1.24100E-02      0.00000E+00      1.79600E+03      0.00000E+00       # Lab                   
      1.37200E-02      0.00000E+00      1.68500E+03      0.00000E+00       # Lab                   
      1.52400E-02      0.00000E+00      1.64500E+03      0.00000E+00       # Lab                   
      1.70400E-02      0.00000E+00      1.72100E+03      0.00000E+00       # Lab                   
      1.91700E-02      0.00000E+00      1.69500E+03      0.00000E+00       # Lab                   
      2.17300E-02      0.00000E+00      1.61000E+03      0.00000E+00       # Lab                   
      3.48400E-02      0.00000E+00      1.55600E+03      0.00000E+00       # Lab                   
