# entry       : 20951 
# subentry    : 002 
# pointer     : 1 
# reaction    : (94-PU-239(N,F),,SIG,,AV) 
# year        : 1972 
# author      : J.P.Theobald 
# institute   : 2ZZZGEL 
# reference   : (P,EANDC(E)-150U,116,7205) 
# facility    : {'x4code': 'LINAC'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      5.00000E-05      0.00000E+00      7.46200E+04      0.00000E+00       # Lab                   
      6.00000E-05      0.00000E+00      5.42900E+04      0.00000E+00       # Lab                   
      7.00000E-05      0.00000E+00      5.96600E+04      0.00000E+00       # Lab                   
      8.00000E-05      0.00000E+00      6.73300E+04      0.00000E+00       # Lab                   
      9.00000E-05      0.00000E+00      3.01900E+04      0.00000E+00       # Lab                   
      2.00000E-04      0.00000E+00      1.87800E+04      0.00000E+00       # Lab                   
      3.00000E-04      0.00000E+00      8.82000E+03      0.00000E+00       # Lab                   
      4.00000E-04      0.00000E+00      9.49000E+03      0.00000E+00       # Lab                   
      5.00000E-04      0.00000E+00      1.56700E+04      0.00000E+00       # Lab                   
      6.00000E-04      0.00000E+00      4.17000E+03      0.00000E+00       # Lab                   
      7.00000E-04      0.00000E+00      5.56000E+03      0.00000E+00       # Lab                   
      8.00000E-04      0.00000E+00      4.74000E+03      0.00000E+00       # Lab                   
      9.00000E-04      0.00000E+00      8.15000E+03      0.00000E+00       # Lab                   
      1.00000E-03      0.00000E+00      3.93000E+03      0.00000E+00       # Lab                   
