# entry       : 40487 
# subentry    : 003 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG) 
# year        : 1979 
# author      : Yu.V.Ryabov 
# institute   : 4RUSJIA 
# reference   : (J,AE,46,154,1979) 
# facility    : {'type': 'REAC', 'x4code': '4ZZZDUB'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      3.00000E-03      0.00000E+00      3.03400E+03      0.00000E+00       # Lab                   
      4.00000E-03      0.00000E+00      2.37100E+03      0.00000E+00       # Lab                   
      5.00000E-03      0.00000E+00      2.20600E+03      0.00000E+00       # Lab                   
      6.00000E-03      0.00000E+00      1.99700E+03      0.00000E+00       # Lab                   
      7.00000E-03      0.00000E+00      2.20200E+03      0.00000E+00       # Lab                   
      8.00000E-03      0.00000E+00      2.24300E+03      0.00000E+00       # Lab                   
      9.00000E-03      0.00000E+00      1.87600E+03      0.00000E+00       # Lab                   
      1.00000E-02      0.00000E+00      1.71900E+03      0.00000E+00       # Lab                   
      1.50000E-02      0.00000E+00      1.65500E+03      0.00000E+00       # Lab                   
      2.00000E-02      0.00000E+00      1.59700E+03      0.00000E+00       # Lab                   
      3.00000E-02      0.00000E+00      1.56800E+03      0.00000E+00       # Lab                   
      4.00000E-02      0.00000E+00      1.51900E+03      0.00000E+00       # Lab                   
      5.00000E-02      0.00000E+00      1.49600E+03      0.00000E+00       # Lab                   
      6.00000E-02      0.00000E+00      1.45900E+03      0.00000E+00       # Lab                   
      7.00000E-02      0.00000E+00      1.50300E+03      0.00000E+00       # Lab                   
      8.00000E-02      0.00000E+00      1.48700E+03      0.00000E+00       # Lab                   
      9.00000E-02      0.00000E+00      1.50600E+03      0.00000E+00       # Lab                   
