# entry       : 40487 
# subentry    : 002 
# pointer     : 4 
# reaction    : (94-PU-239(N,F),,SIG,,AV) 
# year        : 1979 
# author      : Yu.V.Ryabov 
# institute   : 4RUSJIA 
# reference   : (J,AE,46,154,1979) 
# facilitie   : {'type': 'REAC', 'x4code': '4ZZZDUB'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      2.00000E-05      0.00000E+00      9.98300E+04      0.00000E+00       # Lab                   
      3.00000E-05      0.00000E+00      3.07800E+04      0.00000E+00       # Lab                   
      4.00000E-05      0.00000E+00      3.37000E+03      0.00000E+00       # Lab                   
      5.00000E-05      0.00000E+00      2.60700E+04      0.00000E+00       # Lab                   
      6.00000E-05      0.00000E+00      7.34700E+04      0.00000E+00       # Lab                   
      7.00000E-05      0.00000E+00      5.69600E+04      0.00000E+00       # Lab                   
      8.00000E-05      0.00000E+00      6.39300E+04      0.00000E+00       # Lab                   
      9.00000E-05      0.00000E+00      6.71300E+04      0.00000E+00       # Lab                   
      1.00000E-04      0.00000E+00      3.20200E+04      0.00000E+00       # Lab                   
      2.00000E-04      0.00000E+00      1.83100E+04      0.00000E+00       # Lab                   
      3.00000E-04      0.00000E+00      1.75700E+04      0.00000E+00       # Lab                   
      4.00000E-04      0.00000E+00      8.67000E+03      0.00000E+00       # Lab                   
      5.00000E-04      0.00000E+00      9.34000E+03      0.00000E+00       # Lab                   
      6.00000E-04      0.00000E+00      1.63400E+04      0.00000E+00       # Lab                   
      7.00000E-04      0.00000E+00      4.83000E+03      0.00000E+00       # Lab                   
      8.00000E-04      0.00000E+00      6.39000E+03      0.00000E+00       # Lab                   
      9.00000E-04      0.00000E+00      5.33000E+03      0.00000E+00       # Lab                   
      1.00000E-03      0.00000E+00      8.86000E+03      0.00000E+00       # Lab                   
      2.00000E-03      0.00000E+00      4.32000E+03      0.00000E+00       # Lab                   
      3.00000E-03      0.00000E+00      3.30000E+03      0.00000E+00       # Lab                   
