# entry       : 13488 
# subentry    : 005 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG,,AV) 
# year        : 1992 
# author      : L.W.Weston 
# institute   : 1USAORL 
# reference   : (J,NSE,111,415,1992) 
# facility    : {'type': 'LINAC', 'x4code': '1USAORL'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      1.00000E-04      0.00000E+00      1.81500E+04      0.00000E+00       # Lab                   
      2.00000E-04      0.00000E+00      1.68900E+04      0.00000E+00       # Lab                   
      3.00000E-04      0.00000E+00      8.34000E+03      0.00000E+00       # Lab                   
      4.00000E-04      0.00000E+00      9.29000E+03      0.00000E+00       # Lab                   
      5.00000E-04      0.00000E+00      1.43900E+04      0.00000E+00       # Lab                   
      6.00000E-04      0.00000E+00      4.45000E+03      0.00000E+00       # Lab                   
      7.00000E-04      0.00000E+00      5.65000E+03      0.00000E+00       # Lab                   
      8.00000E-04      0.00000E+00      4.83000E+03      0.00000E+00       # Lab                   
      9.00000E-04      0.00000E+00      7.99000E+03      0.00000E+00       # Lab                   
      1.00000E-03      0.00000E+00      4.30000E+03      0.00000E+00       # Lab                   
      2.00000E-03      0.00000E+00      3.13000E+03      0.00000E+00       # Lab                   
      3.00000E-03      0.00000E+00      2.88000E+03      0.00000E+00       # Lab                   
      4.00000E-03      0.00000E+00      2.27000E+03      0.00000E+00       # Lab                   
      5.00000E-03      0.00000E+00      2.21000E+03      0.00000E+00       # Lab                   
      6.00000E-03      0.00000E+00      1.96000E+03      0.00000E+00       # Lab                   
      7.00000E-03      0.00000E+00      2.04000E+03      0.00000E+00       # Lab                   
      8.00000E-03      0.00000E+00      2.11000E+03      0.00000E+00       # Lab                   
      9.00000E-03      0.00000E+00      1.77000E+03      0.00000E+00       # Lab                   
      1.00000E-02      0.00000E+00      1.62000E+03      0.00000E+00       # Lab                   
