# entry       : 40487 
# subentry    : 002 
# pointer     : 3 
# reaction    : (94-PU-239(N,F),,SIG,,AV) 
# year        : 1979 
# author      : Yu.V.Ryabov 
# institute   : 4RUSJIA 
# reference   : (J,AE,46,154,1979) 
# facilitie   : {'type': 'REAC', 'x4code': '4ZZZDUB'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      2.00000E-05      0.00000E+00      9.76800E+04      0.00000E+00       # Lab                   
      3.00000E-05      0.00000E+00      3.33900E+04      0.00000E+00       # Lab                   
      4.00000E-05      0.00000E+00      4.05000E+03      0.00000E+00       # Lab                   
      5.00000E-05      0.00000E+00      2.57300E+04      0.00000E+00       # Lab                   
      6.00000E-05      0.00000E+00      6.93300E+04      0.00000E+00       # Lab                   
      7.00000E-05      0.00000E+00      5.69400E+04      0.00000E+00       # Lab                   
      8.00000E-05      0.00000E+00      6.38700E+04      0.00000E+00       # Lab                   
      9.00000E-05      0.00000E+00      6.60100E+04      0.00000E+00       # Lab                   
      1.00000E-04      0.00000E+00      3.21300E+04      0.00000E+00       # Lab                   
      2.00000E-04      0.00000E+00      1.83100E+04      0.00000E+00       # Lab                   
      3.00000E-04      0.00000E+00      1.73600E+04      0.00000E+00       # Lab                   
      4.00000E-04      0.00000E+00      8.20000E+03      0.00000E+00       # Lab                   
      5.00000E-04      0.00000E+00      1.03100E+04      0.00000E+00       # Lab                   
      6.00000E-04      0.00000E+00      1.63300E+04      0.00000E+00       # Lab                   
      7.00000E-04      0.00000E+00      5.22000E+03      0.00000E+00       # Lab                   
      8.00000E-04      0.00000E+00      5.64000E+03      0.00000E+00       # Lab                   
      9.00000E-04      0.00000E+00      5.02000E+03      0.00000E+00       # Lab                   
      1.00000E-03      0.00000E+00      8.32000E+03      0.00000E+00       # Lab                   
      2.00000E-03      0.00000E+00      4.48000E+03      0.00000E+00       # Lab                   
      3.00000E-03      0.00000E+00      3.26000E+03      0.00000E+00       # Lab                   
