# entry       : 40063 
# subentry    : 013 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG) 
# year        : 1955 
# author      : Ju.V.Adamchuk 
# institute   : 4ZZZDUB 
# reference   : (C,55GENEVA,4,259,195508) 
# facility    : {'x4code': 'REAC'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      1.21990E-08      0.00000E+00      8.32000E+05      0.00000E+00       # Lab                   
      1.25990E-08      0.00000E+00      7.84000E+05      0.00000E+00       # Lab                   
      1.33990E-08      0.00000E+00      8.51000E+05      0.00000E+00       # Lab                   
      1.38990E-08      0.00000E+00      8.20000E+05      0.00000E+00       # Lab                   
      1.43990E-08      0.00000E+00      8.19000E+05      0.00000E+00       # Lab                   
      1.48990E-08      0.00000E+00      7.48000E+05      0.00000E+00       # Lab                   
      1.54990E-08      0.00000E+00      7.50000E+05      0.00000E+00       # Lab                   
      1.60990E-08      0.00000E+00      7.85000E+05      0.00000E+00       # Lab                   
      1.66990E-08      0.00000E+00      6.95000E+05      0.00000E+00       # Lab                   
      1.72990E-08      0.00000E+00      7.99000E+05      0.00000E+00       # Lab                   
      1.79990E-08      0.00000E+00      7.43000E+05      0.00000E+00       # Lab                   
      1.86990E-08      0.00000E+00      6.84000E+05      0.00000E+00       # Lab                   
      1.94990E-08      0.00000E+00      6.77000E+05      0.00000E+00       # Lab                   
      2.02990E-08      0.00000E+00      6.74000E+05      0.00000E+00       # Lab                   
      2.11990E-08      0.00000E+00      6.59000E+05      0.00000E+00       # Lab                   
      2.20990E-08      0.00000E+00      6.55000E+05      0.00000E+00       # Lab                   
      2.30990E-08      0.00000E+00      6.19000E+05      0.00000E+00       # Lab                   
      2.41990E-08      0.00000E+00      6.01000E+05      0.00000E+00       # Lab                   
      2.52990E-08      0.00000E+00      6.29000E+05      0.00000E+00       # Lab                   
      2.64990E-08      0.00000E+00      6.11000E+05      0.00000E+00       # Lab                   
      2.78990E-08      0.00000E+00      5.96000E+05      0.00000E+00       # Lab                   
      2.91990E-08      0.00000E+00      5.76000E+05      0.00000E+00       # Lab                   
      3.07990E-08      0.00000E+00      5.79000E+05      0.00000E+00       # Lab                   
      3.23990E-08      0.00000E+00      5.76000E+05      0.00000E+00       # Lab                   
      3.41990E-08      0.00000E+00      5.42000E+05      0.00000E+00       # Lab                   
      3.60990E-08      0.00000E+00      5.31000E+05      0.00000E+00       # Lab                   
      3.81990E-08      0.00000E+00      5.21000E+05      0.00000E+00       # Lab                   
      4.03990E-08      0.00000E+00      5.15000E+05      0.00000E+00       # Lab                   
      4.29990E-08      0.00000E+00      5.12000E+05      0.00000E+00       # Lab                   
      4.56990E-08      0.00000E+00      4.86000E+05      0.00000E+00       # Lab                   
