# entry       : 21704 
# subentry    : 013 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG) 
# year        : 1980 
# author      : C.Wagemans 
# institute   : 2BLGMOL 
# reference   : (J,ANE,7,495,1980) 
# facilitie   : {'type': 'LINAC', 'x4code': '2ZZZGEL'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      2.98510E-02      0.00000E+00      1.46670E+03      0.00000E+00       # Lab                   
      2.96650E-02      0.00000E+00      1.46040E+03      0.00000E+00       # Lab                   
      2.94800E-02      0.00000E+00      1.59750E+03      0.00000E+00       # Lab                   
      2.92970E-02      0.00000E+00      1.73570E+03      0.00000E+00       # Lab                   
      2.91150E-02      0.00000E+00      1.97760E+03      0.00000E+00       # Lab                   
      2.89360E-02      0.00000E+00      1.69620E+03      0.00000E+00       # Lab                   
      2.87570E-02      0.00000E+00      1.42520E+03      0.00000E+00       # Lab                   
      2.85810E-02      0.00000E+00      1.42900E+03      0.00000E+00       # Lab                   
      2.84060E-02      0.00000E+00      1.68540E+03      0.00000E+00       # Lab                   
      2.82330E-02      0.00000E+00      1.44340E+03      0.00000E+00       # Lab                   
      2.80610E-02      0.00000E+00      1.60470E+03      0.00000E+00       # Lab                   
      2.78910E-02      0.00000E+00      1.46250E+03      0.00000E+00       # Lab                   
      2.77230E-02      0.00000E+00      1.62860E+03      0.00000E+00       # Lab                   
      2.75560E-02      0.00000E+00      1.69480E+03      0.00000E+00       # Lab                   
      2.73900E-02      0.00000E+00      1.50370E+03      0.00000E+00       # Lab                   
      2.72260E-02      0.00000E+00      1.68740E+03      0.00000E+00       # Lab                   
      2.70640E-02      0.00000E+00      1.76870E+03      0.00000E+00       # Lab                   
      2.69030E-02      0.00000E+00      1.79810E+03      0.00000E+00       # Lab                   
      2.67430E-02      0.00000E+00      1.78560E+03      0.00000E+00       # Lab                   
      2.65850E-02      0.00000E+00      1.80070E+03      0.00000E+00       # Lab                   
      2.64280E-02      0.00000E+00      1.47980E+03      0.00000E+00       # Lab                   
      2.62720E-02      0.00000E+00      1.41600E+03      0.00000E+00       # Lab                   
      2.61180E-02      0.00000E+00      1.91200E+03      0.00000E+00       # Lab                   
      2.59650E-02      0.00000E+00      1.52080E+03      0.00000E+00       # Lab                   
      2.58140E-02      0.00000E+00      1.81140E+03      0.00000E+00       # Lab                   
      2.56640E-02      0.00000E+00      1.59800E+03      0.00000E+00       # Lab                   
      2.55150E-02      0.00000E+00      1.98290E+03      0.00000E+00       # Lab                   
      2.53680E-02      0.00000E+00      1.60730E+03      0.00000E+00       # Lab                   
