# entry       : 12877 
# subentry    : 009 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG,,AV) 
# year        : 1984 
# author      : L.W.Weston 
# institute   : 1USAORL 
# reference   : (J,NSE,88,567,1984) 
# facilitie   : {'type': 'LINAC', 'x4code': '1USAORL'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      3.00000E-05      0.00000E+00      3.16600E+04      0.00000E+00       # Lab                   
      4.00000E-05      0.00000E+00      3.07000E+03      0.00000E+00       # Lab                   
      5.00000E-05      0.00000E+00      2.56000E+04      0.00000E+00       # Lab                   
      6.00000E-05      0.00000E+00      7.27700E+04      0.00000E+00       # Lab                   
      7.00000E-05      0.00000E+00      5.37100E+04      0.00000E+00       # Lab                   
      8.00000E-05      0.00000E+00      6.15700E+04      0.00000E+00       # Lab                   
      9.00000E-05      0.00000E+00      6.55900E+04      0.00000E+00       # Lab                   
      1.00000E-04      0.00000E+00      2.91500E+04      0.00000E+00       # Lab                   
      2.00000E-04      0.00000E+00      1.79800E+04      0.00000E+00       # Lab                   
      3.00000E-04      0.00000E+00      1.72300E+04      0.00000E+00       # Lab                   
      4.00000E-04      0.00000E+00      8.06400E+03      0.00000E+00       # Lab                   
      5.00000E-04      0.00000E+00      9.25400E+03      0.00000E+00       # Lab                   
      6.00000E-04      0.00000E+00      1.50400E+04      0.00000E+00       # Lab                   
      7.00000E-04      0.00000E+00      4.13800E+03      0.00000E+00       # Lab                   
      8.00000E-04      0.00000E+00      5.38700E+03      0.00000E+00       # Lab                   
      9.00000E-04      0.00000E+00      4.69000E+03      0.00000E+00       # Lab                   
      1.00000E-03      0.00000E+00      8.18100E+03      0.00000E+00       # Lab                   
      2.00000E-03      0.00000E+00      4.27400E+03      0.00000E+00       # Lab                   
      3.00000E-03      0.00000E+00      3.17300E+03      0.00000E+00       # Lab                   
      4.00000E-03      0.00000E+00      2.91800E+03      0.00000E+00       # Lab                   
      5.00000E-03      0.00000E+00      2.28200E+03      0.00000E+00       # Lab                   
      6.00000E-03      0.00000E+00      2.21300E+03      0.00000E+00       # Lab                   
      7.00000E-03      0.00000E+00      1.95300E+03      0.00000E+00       # Lab                   
      8.00000E-03      0.00000E+00      2.06800E+03      0.00000E+00       # Lab                   
      9.00000E-03      0.00000E+00      2.18000E+03      0.00000E+00       # Lab                   
      1.00000E-02      0.00000E+00      1.78500E+03      0.00000E+00       # Lab                   
      2.00000E-02      0.00000E+00      1.69000E+03      0.00000E+00       # Lab                   
      3.00000E-02      0.00000E+00      1.56200E+03      0.00000E+00       # Lab                   
      4.00000E-02      0.00000E+00      1.45200E+03      0.00000E+00       # Lab                   
      5.00000E-02      0.00000E+00      1.44300E+03      0.00000E+00       # Lab                   
      6.00000E-02      0.00000E+00      1.49600E+03      0.00000E+00       # Lab                   
      7.00000E-02      0.00000E+00      1.49500E+03      0.00000E+00       # Lab                   
      8.00000E-02      0.00000E+00      1.44800E+03      0.00000E+00       # Lab                   
      9.00000E-02      0.00000E+00      1.38200E+03      0.00000E+00       # Lab                   
      1.00000E-01      0.00000E+00      1.43000E+03      0.00000E+00       # Lab                   
