# entry       : 12522 
# subentry    : 004 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG) 
# year        : 1955 
# author      : B.R.Leonard Jr 
# institute   : 1USAHAN 
# reference   : (C,55GENEVA,4,193,55) 
# facilitie   : None
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      5.00000E-09      0.00000E+00      1.69300E+06      2.10000E+04       # Lab                   
      2.25000E-08      0.00000E+00      7.32900E+05      8.70000E+03       # Lab                   
      2.50000E-08      0.00000E+00      7.15900E+05      3.80000E+03       # Lab                   
      2.75000E-08      0.00000E+00      7.11700E+05      4.20000E+03       # Lab                   
      3.00000E-08      0.00000E+00      6.71700E+05      4.00000E+03       # Lab                   
      3.25000E-08      0.00000E+00      6.51100E+05      3.90000E+03       # Lab                   
      3.50000E-08      0.00000E+00      6.38000E+05      3.70000E+03       # Lab                   
      3.75000E-08      0.00000E+00      6.25600E+05      3.10000E+03       # Lab                   
      4.00000E-08      0.00000E+00      5.98400E+05      2.00000E+03       # Lab                   
      4.25000E-08      0.00000E+00      5.86100E+05      2.90000E+03       # Lab                   
      4.50000E-08      0.00000E+00      5.69600E+05      2.80000E+03       # Lab                   
      4.75000E-08      0.00000E+00      5.61600E+05      3.20000E+03       # Lab                   
      5.00000E-08      0.00000E+00      5.49400E+05      2.20000E+03       # Lab                   
      5.25000E-08      0.00000E+00      5.40100E+05      3.10000E+03       # Lab                   
      5.50000E-08      0.00000E+00      5.31800E+05      2.60000E+03       # Lab                   
      5.75000E-08      0.00000E+00      5.21400E+05      2.90000E+03       # Lab                   
      6.00000E-08      0.00000E+00      5.11300E+05      2.00000E+03       # Lab                   
      6.25000E-08      0.00000E+00      5.04700E+05      2.80000E+03       # Lab                   
      6.50000E-08      0.00000E+00      5.03000E+05      2.40000E+03       # Lab                   
      6.75000E-08      0.00000E+00      4.93300E+05      3.10000E+03       # Lab                   
      7.00000E-08      0.00000E+00      4.94800E+05      2.60000E+03       # Lab                   
      7.25000E-08      0.00000E+00      4.92100E+05      2.60000E+03       # Lab                   
      7.50000E-08      0.00000E+00      4.91000E+05      1.80000E+03       # Lab                   
      7.75000E-08      0.00000E+00      4.86700E+05      1.80000E+03       # Lab                   
      8.00000E-08      0.00000E+00      4.84300E+05      1.80000E+03       # Lab                   
      8.25000E-08      0.00000E+00      4.78000E+05      1.40000E+03       # Lab                   
      8.50000E-08      0.00000E+00      4.75200E+05      1.40000E+03       # Lab                   
      8.75000E-08      0.00000E+00      4.70900E+05      1.40000E+03       # Lab                   
      9.00000E-08      0.00000E+00      4.70100E+05      1.00000E+03       # Lab                   
      9.25000E-08      0.00000E+00      4.67900E+05      1.30000E+03       # Lab                   
      9.50000E-08      0.00000E+00      4.69900E+05      1.60000E+03       # Lab                   
      9.61000E-08      0.00000E+00      4.66400E+05      1.60000E+03       # Lab                   
      9.75000E-08      0.00000E+00      4.67800E+05      1.30000E+03       # Lab                   
      1.00000E-07      0.00000E+00      4.65000E+05      6.00000E+02       # Lab                   
      1.05700E-07      0.00000E+00      4.67600E+05      2.20000E+03       # Lab                   
      1.08500E-07      0.00000E+00      4.49000E+05      3.00000E+03       # Lab                   
      1.10500E-07      0.00000E+00      4.68800E+05      1.80000E+03       # Lab                   
      1.15300E-07      0.00000E+00      4.73400E+05      2.30000E+03       # Lab                   
      1.20000E-07      0.00000E+00      4.71100E+05      2.50000E+03       # Lab                   
      1.20100E-07      0.00000E+00      4.77400E+05      2.00000E+03       # Lab                   
      1.24900E-07      0.00000E+00      4.81100E+05      2.50000E+03       # Lab                   
      1.25000E-07      0.00000E+00      4.80200E+05      5.40000E+03       # Lab                   
      1.34700E-07      0.00000E+00      4.96600E+05      1.90000E+03       # Lab                   
      1.40000E-07      0.00000E+00      5.02200E+05      2.10000E+03       # Lab                   
      1.44100E-07      0.00000E+00      5.21100E+05      2.40000E+03       # Lab                   
      1.50000E-07      0.00000E+00      5.41400E+05      5.20000E+03       # Lab                   
      1.53700E-07      0.00000E+00      5.49200E+05      2.60000E+03       # Lab                   
      1.60000E-07      0.00000E+00      5.60900E+05      3.00000E+03       # Lab                   
      1.63300E-07      0.00000E+00      5.89100E+05      2.50000E+03       # Lab                   
      1.72900E-07      0.00000E+00      6.41500E+05      2.60000E+03       # Lab                   
      1.80000E-07      0.00000E+00      6.83500E+05      6.50000E+03       # Lab                   
      1.82500E-07      0.00000E+00      7.01700E+05      3.30000E+03       # Lab                   
      1.92100E-07      0.00000E+00      7.78500E+05      3.00000E+03       # Lab                   
      2.00000E-07      0.00000E+00      8.73000E+05      5.80000E+03       # Lab                   
      2.01700E-07      0.00000E+00      8.74700E+05      3.50000E+03       # Lab                   
      2.11300E-07      0.00000E+00      9.98700E+05      3.40000E+03       # Lab                   
      2.20000E-07      0.00000E+00      1.13400E+06      8.00000E+03       # Lab                   
      2.20900E-07      0.00000E+00      1.15000E+06      4.00000E+03       # Lab                   
      2.30500E-07      0.00000E+00      1.11000E+06      5.00000E+03       # Lab                   
      2.30900E-07      0.00000E+00      1.36300E+06      1.10000E+04       # Lab                   
      2.40100E-07      0.00000E+00      1.60500E+06      7.00000E+03       # Lab                   
      2.49700E-07      0.00000E+00      1.89900E+06      8.00000E+03       # Lab                   
      2.59300E-07      0.00000E+00      2.22900E+06      1.10000E+04       # Lab                   
      2.60000E-07      0.00000E+00      2.26100E+06      1.90000E+04       # Lab                   
      2.68900E-07      0.00000E+00      2.57900E+06      1.40000E+04       # Lab                   
      2.78500E-07      0.00000E+00      2.89400E+06      1.70000E+04       # Lab                   
      2.80000E-07      0.00000E+00      2.94300E+06      1.90000E+04       # Lab                   
      2.88100E-07      0.00000E+00      3.12800E+06      1.10000E+04       # Lab                   
      2.90000E-07      0.00000E+00      3.13900E+06      2.30000E+04       # Lab                   
      2.97400E-07      0.00000E+00      3.17400E+06      3.80000E+04       # Lab                   
      2.99800E-07      0.00000E+00      3.16100E+06      1.70000E+04       # Lab                   
      3.00000E-07      0.00000E+00      3.16700E+06      2.80000E+04       # Lab                   
      3.02000E-07      0.00000E+00      3.04000E+06      2.50000E+04       # Lab                   
      3.07300E-07      0.00000E+00      2.98800E+06      1.50000E+04       # Lab                   
      3.17000E-07      0.00000E+00      2.65900E+06      1.50000E+04       # Lab                   
      3.20000E-07      0.00000E+00      2.52400E+06      2.00000E+04       # Lab                   
      3.26600E-07      0.00000E+00      2.33200E+06      1.30000E+04       # Lab                   
      3.36200E-07      0.00000E+00      1.98300E+06      1.30000E+04       # Lab                   
      3.40000E-07      0.00000E+00      1.78200E+06      1.60000E+04       # Lab                   
      3.45800E-07      0.00000E+00      1.67700E+06      1.20000E+04       # Lab                   
      3.55400E-07      0.00000E+00      1.37400E+06      1.40000E+04       # Lab                   
      3.60000E-07      0.00000E+00      1.21800E+06      1.60000E+04       # Lab                   
      3.65000E-07      0.00000E+00      1.14800E+06      8.00000E+03       # Lab                   
      3.74600E-07      0.00000E+00      9.56500E+05      9.00000E+03       # Lab                   
      3.80000E-07      0.00000E+00      8.41100E+05      1.10000E+04       # Lab                   
      3.84200E-07      0.00000E+00      8.19200E+05      8.00000E+03       # Lab                   
