# entry       : 21082 
# subentry    : 007 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG) 
# year        :  
# author      : J.M.Auclair 
# institute   : 2FR SAC 
# reference   :  
# facilitie   : {'x4code': 'SPECC'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      4.30000E-09      0.00000E+00      2.23000E+06      0.00000E+00       # Lab                   
      4.60000E-09      0.00000E+00      1.93000E+06      0.00000E+00       # Lab                   
      4.90000E-09      0.00000E+00      1.83000E+06      0.00000E+00       # Lab                   
      5.10000E-09      0.00000E+00      1.86000E+06      0.00000E+00       # Lab                   
      5.40000E-09      0.00000E+00      1.69000E+06      0.00000E+00       # Lab                   
      5.70000E-09      0.00000E+00      1.78000E+06      0.00000E+00       # Lab                   
      6.00000E-09      0.00000E+00      1.76000E+06      0.00000E+00       # Lab                   
      6.50000E-09      0.00000E+00      1.64000E+06      0.00000E+00       # Lab                   
      6.90000E-09      0.00000E+00      1.55000E+06      0.00000E+00       # Lab                   
      7.40000E-09      0.00000E+00      1.70000E+06      0.00000E+00       # Lab                   
      7.90000E-09      0.00000E+00      1.60000E+06      0.00000E+00       # Lab                   
      8.40000E-09      0.00000E+00      1.41000E+06      0.00000E+00       # Lab                   
      9.20000E-09      0.00000E+00      1.19000E+06      0.00000E+00       # Lab                   
      9.90000E-09      0.00000E+00      1.34000E+06      0.00000E+00       # Lab                   
      1.12000E-08      0.00000E+00      1.09000E+06      0.00000E+00       # Lab                   
      1.34000E-08      0.00000E+00      1.06400E+06      0.00000E+00       # Lab                   
      1.64000E-08      0.00000E+00      9.24000E+05      0.00000E+00       # Lab                   
      2.24000E-08      0.00000E+00      8.03000E+05      0.00000E+00       # Lab                   
      2.88000E-08      0.00000E+00      7.23000E+05      0.00000E+00       # Lab                   
      3.85000E-08      0.00000E+00      6.24000E+05      0.00000E+00       # Lab                   
      6.40000E-08      0.00000E+00      5.15000E+05      0.00000E+00       # Lab                   
      7.25000E-08      0.00000E+00      4.90000E+05      0.00000E+00       # Lab                   
      7.85000E-08      0.00000E+00      4.88000E+05      0.00000E+00       # Lab                   
      8.25000E-08      0.00000E+00      4.68000E+05      0.00000E+00       # Lab                   
      9.05000E-08      0.00000E+00      4.57000E+05      0.00000E+00       # Lab                   
      1.00000E-07      0.00000E+00      4.98000E+05      0.00000E+00       # Lab                   
      1.16000E-07      0.00000E+00      4.52000E+05      0.00000E+00       # Lab                   
      1.28000E-07      0.00000E+00      4.90000E+05      0.00000E+00       # Lab                   
      1.42000E-07      0.00000E+00      5.09000E+05      0.00000E+00       # Lab                   
      1.59000E-07      0.00000E+00      5.69000E+05      0.00000E+00       # Lab                   
      1.72000E-07      0.00000E+00      6.60000E+05      0.00000E+00       # Lab                   
      1.87000E-07      0.00000E+00      8.08000E+05      0.00000E+00       # Lab                   
      2.15000E-07      0.00000E+00      1.03800E+06      0.00000E+00       # Lab                   
      2.37000E-07      0.00000E+00      1.52000E+06      0.00000E+00       # Lab                   
      2.56000E-07      0.00000E+00      2.26000E+06      0.00000E+00       # Lab                   
      2.71000E-07      0.00000E+00      2.69500E+06      0.00000E+00       # Lab                   
      2.83000E-07      0.00000E+00      2.82600E+06      0.00000E+00       # Lab                   
      3.09000E-07      0.00000E+00      2.63000E+06      0.00000E+00       # Lab                   
      3.22000E-07      0.00000E+00      2.23400E+06      0.00000E+00       # Lab                   
      3.37000E-07      0.00000E+00      1.72700E+06      0.00000E+00       # Lab                   
      3.53000E-07      0.00000E+00      1.16700E+06      0.00000E+00       # Lab                   
      3.69000E-07      0.00000E+00      8.85000E+05      0.00000E+00       # Lab                   
      3.89000E-07      0.00000E+00      7.06000E+05      0.00000E+00       # Lab                   
      4.09000E-07      0.00000E+00      6.67000E+05      0.00000E+00       # Lab                   
      4.30000E-07      0.00000E+00      4.14000E+05      0.00000E+00       # Lab                   
      4.53000E-07      0.00000E+00      2.83000E+05      0.00000E+00       # Lab                   
      5.05000E-07      0.00000E+00      1.95700E+05      0.00000E+00       # Lab                   
      5.35000E-07      0.00000E+00      1.56200E+05      0.00000E+00       # Lab                   
      5.67000E-07      0.00000E+00      1.05300E+05      0.00000E+00       # Lab                   
      6.00000E-07      0.00000E+00      9.34000E+04      0.00000E+00       # Lab                   
      6.40000E-07      0.00000E+00      8.93000E+04      0.00000E+00       # Lab                   
      6.80000E-07      0.00000E+00      5.88000E+04      0.00000E+00       # Lab                   
      7.30000E-07      0.00000E+00      7.98000E+04      0.00000E+00       # Lab                   
      7.80000E-07      0.00000E+00      6.46000E+04      0.00000E+00       # Lab                   
      8.40000E-07      0.00000E+00      4.83000E+04      0.00000E+00       # Lab                   
      9.80000E-07      0.00000E+00      4.24000E+04      0.00000E+00       # Lab                   
