# entry       : 11791 
# subentry    : 005 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG) 
# year        : 1958 
# author      : E.J.Seppi 
# institute   : 1USAHAN 
# reference   : (R,HW-55879,3,5804) 
# facility    : {'x4code': 'SPECC'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      2.53000E-09      0.00000E+00      2.03400E+06      8.13600E+04       # Lab                   
      2.69000E-09      0.00000E+00      1.95300E+06      6.24960E+04       # Lab                   
      2.86000E-09      0.00000E+00      1.93000E+06      5.01800E+04       # Lab                   
      3.05000E-09      0.00000E+00      1.85600E+06      4.08320E+04       # Lab                   
      3.26000E-09      0.00000E+00      1.81400E+06      3.26520E+04       # Lab                   
      3.49000E-09      0.00000E+00      1.72500E+06      2.76000E+04       # Lab                   
      3.75000E-09      0.00000E+00      1.74400E+06      2.44160E+04       # Lab                   
      4.04000E-09      0.00000E+00      1.68200E+06      2.01840E+04       # Lab                   
      4.36000E-09      0.00000E+00      1.61400E+06      1.77540E+04       # Lab                   
      4.73000E-09      0.00000E+00      1.53300E+06      1.53300E+04       # Lab                   
