# entry       : 30018 
# subentry    : 002 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG,,RV) 
# year        : 1962 
# author      : H.Teutsch 
# institute   : 3RUMBUC 
# reference   : (J,NUK,4,165,196206) 
# facility    : None 
# frame       : Lab
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      5.68000E-16      0.00000E+00      3.10000E+05      2.00000E+03
      5.84000E-16      0.00000E+00      3.21000E+05      2.00000E+03
      6.00000E-16      0.00000E+00      3.27000E+05      2.00000E+03
      6.15000E-16      0.00000E+00      3.34000E+05      2.00000E+03
      6.31000E-16      0.00000E+00      3.44000E+05      2.00000E+03
      6.47000E-16      0.00000E+00      3.47000E+05      3.00000E+03
      6.63000E-16      0.00000E+00      3.59000E+05      3.00000E+03
      6.79000E-16      0.00000E+00      3.68000E+05      3.00000E+03
      6.94000E-16      0.00000E+00      3.83000E+05      3.00000E+03
      7.10000E-16      0.00000E+00      3.90000E+05      4.00000E+03
      7.26000E-16      0.00000E+00      3.95000E+05      4.00000E+03
      7.42000E-16      0.00000E+00      3.97000E+05      4.00000E+03
      7.58000E-16      0.00000E+00      4.12000E+05      5.00000E+03
      7.74000E-16      0.00000E+00      4.26000E+05      5.00000E+03
      7.89000E-16      0.00000E+00      4.35000E+05      6.00000E+03
      8.05000E-16      0.00000E+00      4.36000E+05      6.00000E+03
      8.21000E-16      0.00000E+00      4.53000E+05      7.00000E+03
      8.37000E-16      0.00000E+00      4.61000E+05      8.00000E+03
      8.53000E-16      0.00000E+00      4.73000E+05      9.00000E+03
      8.68000E-16      0.00000E+00      4.60000E+05      1.00000E+04
      8.84000E-16      0.00000E+00      4.72000E+05      1.10000E+04
