# entry       : 12196 
# subentry    : 003 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG) 
# year        : 1964 
# author      : E.Haddad 
# institute   : 1USAGA 
# reference   : (J,NIM,31,125,64) 
# facility    : {'x4code': 'LINAC'} 
# frame       : Lab
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      1.00000E-08      0.00000E+00      1.56000E+05      0.00000E+00
      1.50000E-08      0.00000E+00      1.25000E+05      0.00000E+00
      2.00000E-08      0.00000E+00      1.08000E+05      0.00000E+00
      2.50000E-08      0.00000E+00      9.80000E+04      0.00000E+00
      3.00000E-08      0.00000E+00      8.90000E+04      0.00000E+00
      4.00000E-08      0.00000E+00      7.80000E+04      0.00000E+00
      5.00000E-08      0.00000E+00      6.80000E+04      0.00000E+00
      6.00000E-08      0.00000E+00      6.30000E+04      0.00000E+00
      7.00000E-08      0.00000E+00      5.80000E+04      0.00000E+00
      8.00000E-08      0.00000E+00      5.60000E+04      0.00000E+00
      9.00000E-08      0.00000E+00      5.15000E+04      0.00000E+00
      1.00000E-07      0.00000E+00      5.10000E+04      0.00000E+00
      1.25000E-07      0.00000E+00      4.50000E+04      0.00000E+00
      1.50000E-07      0.00000E+00      4.25000E+04      0.00000E+00
      1.75000E-07      0.00000E+00      3.95000E+04      0.00000E+00
      2.00000E-07      0.00000E+00      3.75000E+04      0.00000E+00
      2.50000E-07      0.00000E+00      3.35000E+04      0.00000E+00
      3.00000E-07      0.00000E+00      3.15000E+04      0.00000E+00
      4.00000E-07      0.00000E+00      2.81000E+04      0.00000E+00
      5.00000E-07      0.00000E+00      2.65000E+04      0.00000E+00
      6.00000E-07      0.00000E+00      2.57000E+04      0.00000E+00
      7.00000E-07      0.00000E+00      2.41000E+04      0.00000E+00
      8.00000E-07      0.00000E+00      2.40000E+04      0.00000E+00
      9.00000E-07      0.00000E+00      2.43000E+04      0.00000E+00
      1.20000E-06      0.00000E+00      2.38000E+04      0.00000E+00
      2.35000E-06      0.00000E+00      3.70000E+04      0.00000E+00
      2.75000E-06      0.00000E+00      4.80000E+04      0.00000E+00
      3.19000E-06      0.00000E+00      7.20000E+04      0.00000E+00
      3.55000E-06      0.00000E+00      1.32000E+05      0.00000E+00
      4.20000E-06      0.00000E+00      5.95000E+05      0.00000E+00
      5.65000E-06      0.00000E+00      3.30000E+05      0.00000E+00
      6.40000E-06      0.00000E+00      5.25000E+04      0.00000E+00
      7.25000E-06      0.00000E+00      2.40000E+04      0.00000E+00
      8.00000E-06      0.00000E+00      1.20000E+04      0.00000E+00
