# entry       : 11675 
# subentry    : 026 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG) 
# year        : 1959 
# author      : A.E.Johnsrud 
# institute   : 1USAWIS 
# reference   : (J,PR,116,927,1959) 
# facility    : None 
# frame       : Lab
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      1.45000E-01      0.00000E+00      3.20000E+02      0.00000E+00
      2.00000E-01      0.00000E+00      2.78000E+02      0.00000E+00
      2.45000E-01      0.00000E+00      2.66000E+02      0.00000E+00
      3.05000E-01      0.00000E+00      2.55000E+02      0.00000E+00
      4.00000E-01      0.00000E+00      1.95000E+02      0.00000E+00
      4.45000E-01      0.00000E+00      1.58000E+02      0.00000E+00
      4.95000E-01      0.00000E+00      1.45000E+02      0.00000E+00
      5.20000E-01      0.00000E+00      1.60000E+02      0.00000E+00
      5.50000E-01      0.00000E+00      1.50000E+02      0.00000E+00
      5.95000E-01      0.00000E+00      1.25000E+02      0.00000E+00
      8.00000E-01      0.00000E+00      1.05000E+02      0.00000E+00
      1.00000E+00      0.00000E+00      9.00000E+01      0.00000E+00
      1.19000E+00      0.00000E+00      9.60000E+01      0.00000E+00
      1.40000E+00      0.00000E+00      8.20000E+01      0.00000E+00
      1.40000E+00      0.00000E+00      9.60000E+01      0.00000E+00
      1.40000E+00      0.00000E+00      9.00000E+01      0.00000E+00
      1.80000E+00      0.00000E+00      6.70000E+01      0.00000E+00
      2.20000E+00      0.00000E+00      4.70000E+01      0.00000E+00
      2.55000E+00      0.00000E+00      4.45000E+01      0.00000E+00
      4.80000E+00      0.00000E+00      1.45000E+01      0.00000E+00
      5.40000E+00      0.00000E+00      1.55000E+01      0.00000E+00
