# entry       : 20573 
# subentry    : 003 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG,,AV) 
# year        : 1975 
# author      : E.Fort 
# institute   : 2FR CAD 
# reference   : (C,75WASH,2,957,7503) 
# facility    : {'x4code': 'VDG  '} 
# frame       : 
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      1.75000E-02      2.50000E-03      8.17820E+02      3.06000E+01
      2.25000E-02      2.50000E-03      6.69900E+02      2.50700E+01
      2.75000E-02      2.50000E-03      6.26280E+02      2.34300E+01
      3.25000E-02      2.50000E-03      5.53760E+02      2.07200E+01
      3.75000E-02      2.50000E-03      5.55360E+02      2.07800E+01
      4.25000E-02      2.50000E-03      5.12740E+02      1.91900E+01
      4.75000E-02      2.50000E-03      4.73500E+02      1.77200E+01
      5.25000E-02      2.50000E-03      4.61260E+02      1.72600E+01
      5.75000E-02      2.50000E-03      4.39930E+02      1.64600E+01
      6.25000E-02      2.50000E-03      4.12090E+02      1.54200E+01
      6.75000E-02      2.50000E-03      4.02210E+02      1.50500E+01
      7.25000E-02      2.50000E-03      3.83130E+02      1.43400E+01
      7.75000E-02      2.50000E-03      3.58690E+02      1.34200E+01
      8.25000E-02      2.50000E-03      3.31470E+02      1.24100E+01
      8.75000E-02      2.50000E-03      3.22310E+02      1.20600E+01
      9.25000E-02      2.50000E-03      3.11870E+02      1.16700E+01
      9.75000E-02      2.50000E-03      3.14720E+02      1.17800E+01
      1.02500E-01      2.50000E-03      3.12110E+02      1.16800E+01
      1.07500E-01      2.50000E-03      3.19450E+02      1.19600E+01
      1.12500E-01      2.50000E-03      3.07230E+02      1.15000E+01
      1.17500E-01      2.50000E-03      2.88510E+02      1.08000E+01
      1.22500E-01      2.50000E-03      2.94280E+02      1.10200E+01
      1.27500E-01      2.50000E-03      2.93300E+02      1.09800E+01
      1.32500E-01      2.50000E-03      2.93180E+02      1.09700E+01
      1.37500E-01      2.50000E-03      2.83400E+02      1.06100E+01
      1.42500E-01      2.50000E-03      2.75970E+02      1.03300E+01
      1.47500E-01      2.50000E-03      2.73080E+02      1.02200E+01
      1.52500E-01      2.50000E-03      2.65140E+02      9.93000E+00
      1.57500E-01      2.50000E-03      2.70110E+02      1.01100E+01
