# entry       : 40520 
# subentry    : 002 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG) 
# year        : 1977 
# author      : V.N.Kononov 
# institute   : 4RUSFEI 
# reference   : (R,YK-22,29,1977) 
# facility    : {'type': 'VDG', 'x4code': '4RUSFEI'} 
# frame       : 
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      5.50000E-03      5.00000E-04      2.28000E+03      0.00000E+00
      6.50000E-03      5.00000E-04      2.00000E+03      0.00000E+00
      7.50000E-03      5.00000E-04      1.65800E+03      0.00000E+00
      8.50000E-03      5.00000E-04      1.46800E+03      0.00000E+00
      9.50000E-03      5.00000E-04      1.24800E+03      0.00000E+00
      1.05000E-02      5.00000E-04      1.24000E+03      0.00000E+00
      1.15000E-02      5.00000E-04      1.27300E+03      0.00000E+00
      1.25000E-02      5.00000E-04      1.06600E+03      0.00000E+00
      1.35000E-02      5.00000E-04      9.81000E+02      0.00000E+00
      1.45000E-02      5.00000E-04      9.38000E+02      0.00000E+00
      1.55000E-02      5.00000E-04      8.88000E+02      0.00000E+00
      1.65000E-02      5.00000E-04      8.63000E+02      0.00000E+00
      1.75000E-02      5.00000E-04      8.34000E+02      0.00000E+00
      1.85000E-02      5.00000E-04      7.75000E+02      0.00000E+00
      1.95000E-02      5.00000E-04      7.24000E+02      0.00000E+00
      2.10000E-02      1.00000E-03      7.12000E+02      0.00000E+00
      2.30000E-02      1.00000E-03      6.85000E+02      0.00000E+00
      2.50000E-02      1.00000E-03      6.54000E+02      0.00000E+00
      2.70000E-02      1.00000E-03      6.33000E+02      0.00000E+00
      2.90000E-02      1.00000E-03      6.15000E+02      0.00000E+00
      3.10000E-02      1.00000E-03      5.79000E+02      0.00000E+00
      3.30000E-02      1.00000E-03      5.65000E+02      0.00000E+00
      3.50000E-02      1.00000E-03      5.51000E+02      0.00000E+00
      3.70000E-02      1.00000E-03      5.42000E+02      0.00000E+00
      3.90000E-02      1.00000E-03      5.23000E+02      0.00000E+00
      4.10000E-02      1.00000E-03      4.95000E+02      0.00000E+00
      4.30000E-02      1.00000E-03      4.82000E+02      0.00000E+00
      4.50000E-02      1.00000E-03      4.75000E+02      0.00000E+00
      4.70000E-02      1.00000E-03      4.73000E+02      0.00000E+00
      4.90000E-02      1.00000E-03      4.49000E+02      0.00000E+00
      5.10000E-02      1.00000E-03      4.43000E+02      0.00000E+00
      5.30000E-02      1.00000E-03      4.15000E+02      0.00000E+00
      5.50000E-02      1.00000E-03      4.26000E+02      0.00000E+00
      5.70000E-02      1.00000E-03      4.21000E+02      0.00000E+00
      5.90000E-02      1.00000E-03      4.02000E+02      0.00000E+00
      6.10000E-02      1.00000E-03      3.97000E+02      0.00000E+00
      6.30000E-02      1.00000E-03      3.90000E+02      0.00000E+00
      6.50000E-02      1.00000E-03      3.93000E+02      0.00000E+00
      6.70000E-02      1.00000E-03      3.64000E+02      0.00000E+00
      6.90000E-02      1.00000E-03      3.64000E+02      0.00000E+00
      7.10000E-02      1.00000E-03      3.60000E+02      0.00000E+00
      7.30000E-02      1.00000E-03      3.55000E+02      0.00000E+00
      7.50000E-02      1.00000E-03      3.64000E+02      0.00000E+00
      7.70000E-02      1.00000E-03      3.40000E+02      0.00000E+00
      7.90000E-02      1.00000E-03      3.41000E+02      0.00000E+00
      8.20000E-02      2.00000E-03      3.41000E+02      0.00000E+00
      8.60000E-02      2.00000E-03      3.34000E+02      0.00000E+00
      9.00000E-02      2.00000E-03      3.31000E+02      0.00000E+00
      9.40000E-02      2.00000E-03      3.16000E+02      0.00000E+00
      9.80000E-02      2.00000E-03      3.14000E+02      0.00000E+00
      1.02000E-01      2.00000E-03      3.11000E+02      0.00000E+00
      1.06000E-01      2.00000E-03      3.09000E+02      0.00000E+00
      1.10000E-01      2.00000E-03      3.05000E+02      0.00000E+00
      1.14000E-01      2.00000E-03      2.97000E+02      0.00000E+00
      1.18000E-01      2.00000E-03      2.95000E+02      0.00000E+00
      1.24000E-01      4.00000E-03      2.87000E+02      0.00000E+00
      1.32000E-01      4.00000E-03      2.88000E+02      0.00000E+00
      1.40000E-01      4.00000E-03      2.95000E+02      0.00000E+00
      1.48000E-01      4.00000E-03      2.86000E+02      0.00000E+00
      1.56000E-01      4.00000E-03      2.85000E+02      0.00000E+00
      1.64000E-01      4.00000E-03      2.80000E+02      0.00000E+00
      1.72000E-01      4.00000E-03      2.65000E+02      0.00000E+00
      1.80000E-01      4.00000E-03      2.65000E+02      0.00000E+00
      1.88000E-01      4.00000E-03      2.59000E+02      0.00000E+00
      1.96000E-01      4.00000E-03      2.53000E+02      0.00000E+00
      2.07500E-01      7.50000E-03      2.52000E+02      0.00000E+00
      2.22500E-01      7.50000E-03      2.45000E+02      0.00000E+00
      2.37500E-01      7.50000E-03      2.43000E+02      0.00000E+00
      2.52500E-01      7.50000E-03      2.34000E+02      0.00000E+00
      2.67500E-01      7.50000E-03      2.32000E+02      0.00000E+00
      2.82500E-01      7.50000E-03      2.16000E+02      0.00000E+00
      2.97500E-01      7.50000E-03      2.06000E+02      0.00000E+00
      3.12500E-01      7.50000E-03      1.92000E+02      0.00000E+00
      3.27500E-01      7.50000E-03      1.84000E+02      0.00000E+00
      3.42500E-01      7.50000E-03      1.79000E+02      0.00000E+00
