# entry       : 10421 
# subentry    : 004 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG) 
# year        : 1975 
# author      : W.P.Poenitz 
# institute   : 1USAANL 
# reference   : (J,NSE,57,300,197508) 
# facility    : {'type': 'DYNAM', 'x4code': '1USAANL'} 
# frame       : Lab
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      4.00000E-01      2.70000E-02      1.77000E+02      1.60000E+01
      5.00000E-01      2.60000E-02      1.45000E+02      1.30000E+01
      6.00000E-01      2.50000E-02      1.17000E+02      1.10000E+01
      7.00000E-01      2.40000E-02      1.00000E+02      1.00000E+01
      8.50000E-01      2.30000E-02      8.57000E+01      8.00000E+00
      9.00000E-01      2.30000E-02      8.38000E+01      7.80000E+00
      1.00000E+00      2.20000E-02      8.30000E+01      6.40000E+00
      1.20000E+00      2.10000E-02      7.39000E+01      7.20000E+00
      1.30000E+00      2.10000E-02      7.41000E+01      6.60000E+00
      1.40000E+00      2.00000E-02      7.10000E+01      6.30000E+00
      1.50000E+00      2.00000E-02      7.25000E+01      6.40000E+00
      1.70000E+00      1.90000E-02      6.39000E+01      6.70000E+00
      1.80000E+00      1.90000E-02      6.46000E+01      6.50000E+00
      2.00000E+00      1.80000E-02      5.51000E+01      6.70000E+00
      2.10000E+00      1.80000E-02      4.94000E+01      5.50000E+00
      2.50000E+00      1.70000E-02      3.85000E+01      4.40000E+00
      3.00000E+00      1.50000E-02      3.18000E+01      3.60000E+00
      3.50000E+00      1.30000E-02      2.05000E+01      2.40000E+00
